participant,UUID,date,condition,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Batty House,Lynch Station,Golledge Hall,68,51.76768154,16.23231846,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Batty House,Lynch Station,Lynch Station,-46,-47.32798389,1.327983892,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Batty House,Lynch Station,Snow Church,32,48.19947553,16.19947553,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Batty House,Lynch Station,Harris Hall,14,37.5286373,23.5286373,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Batty House,Lynch Station,Sauer Center,49,30.3316951,18.6683049,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Batty House,Lynch Station,Tobler Museum,81,37.30802198,43.69197802,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Batty House,Lynch Station,Harvey House,13,93.19423766,80.19423766,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Lynch Station,Harris Hall,Batty House,131,130.6542463,0.345753667,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Lynch Station,Harris Hall,Snow Church,15,-8.968174613,23.96817461,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Lynch Station,Harris Hall,Golledge Hall,50,-3.323863738,53.32386374,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Lynch Station,Harris Hall,Tobler Museum,36,-17.95076442,53.95076442,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Lynch Station,Harris Hall,Sauer Center,0,-29.20903342,29.20903342,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Lynch Station,Harris Hall,Harris Hall,3,7.021704671,4.021704671,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Lynch Station,Harris Hall,Harvey House,24,48.19593801,24.19593801,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harris Hall,Harvey House,Tobler Museum,-84,-99.95984558,15.95984558,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harris Hall,Harvey House,Lynch Station,111,114.5627943,3.562794278,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harris Hall,Harvey House,Golledge Hall,-4,-77.71082192,73.71082192,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harris Hall,Harvey House,Snow Church,-23,-84.7281122,61.7281122,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harris Hall,Harvey House,Harvey House,16,-2.146796904,18.1467969,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harris Hall,Harvey House,Batty House,80,83.35216568,3.352165685,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harris Hall,Harvey House,Sauer Center,-67,-110.6574336,43.65743363,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harvey House,Harris Hall,Lynch Station,0,-32.28246429,32.28246429,same,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harvey House,Harris Hall,Tobler Museum,125,42.14615863,82.85384137,different,FALSE
Rev PILOT_1,4a41dd77-bc8d-4fbb-9aea-a10675c41a38,2020-08-23 02:03:51 UTC,Rev PILOT,0,Harvey House,Harris Hall,Harris Hall,17,-4.196894849,21.19689485,same,FALSE
