Participant_ID,Seen_Within,Unseen_All,Unseen_Within,Unseen_Between,Between_Pointing,Within_Pointing,Study,Motivation,Buildings_ID,Differently_Classified,Ethnicity,SBSOD,Gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,Buildings_Percent,MRT,Ints_Others_Clusters,Non_Int_Imps_Only_Clusters,Study_Combined_Correct,Two_Step_Within_0,Two_Step_Within_1,Two_Step_Within_2,Two_Step_Within_3,Two_Step_Across_All,Two_Step_Within_All,Cluster_Matches,K_Means_Within_0,K_Means_Within_1,K_Means_Within_2,K_Means_Within_3,K_Means_Across_All,K_Means_Within_All,SAQ,Model_Building_Average_Within,Total_Time_in_Environment,Seen_Unseen,UnseenB_UnseenW,Pointing_mean
1,,,,,45.32,29.2,0,,,,,4.933333333,Male,,0.321670075,0.727779442,0.641715591,,-4,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Imprecise Navigator,,,,Non-Integrator,Imprecise Navigator,,0.684747517,,,,38.41142857
2,,,,,53.51,46.71,0,,,,,4.533333333,Female,,0.213397196,0.020522802,0.441295387,,32,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.230909095,,,,50.59571429
3,,,,,75.07,12.95,0,,,,,4.266666667,Female,,0.406674845,0.599065234,0.927170725,,32,1,2,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.76311798,,,,48.44714286
4,,,,,20.97,11.83,0,,,,,4.2,Female,,0.937156135,0.969228071,0.911657891,,62,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.940442981,,,,17.05285714
5,,,,,41.45,10.65,0,,,1,,5.533333333,Female,,0.746601408,0.962052447,0.348784386,,32,2,,,Integrator,,,,Non-Integrator,Integrator,1,Integrator,,,,Integrator,Integrator,,0.655418417,,,,28.25
6,,,,,51.65,22.98,0,,,,,4.533333333,Male,,0.516240633,0.636700056,0.735622105,,16,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.686161081,,,,39.36285714
7,,,,,50.31,27.26,0,,,,,4.4,Male,,0.038862397,0.137848543,0.241486034,,16,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.189667288,,,,40.43142857
8,,,,,47.37,36.52,0,,,,,4.066666667,Male,,0.557709434,0.057886905,0.801499465,,26,1,1,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.429693185,,,,42.72
9,,,,,54.32,44.19,0,,,,,4.4,Female,,0.663707235,0.40554953,0.379276163,,-10,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.392412846,,,,49.97857143
10,,,,,48.61,28.81,0,,,,,4,Female,,0.234618761,0.020875103,0.434673296,,-14,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Imprecise Navigator,,,,Non-Integrator,Imprecise Navigator,,0.2277742,,,,40.12428571
11,,,,,69.09,22.7,0,,,,,3.733333333,Male,,0.109291416,0.73847396,0.819668746,,40,1,2,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.779071353,,,,49.20857143
12,,,,,53.65,30.84,0,,,,,4.866666667,Male,,0.407017352,0.438226861,0.785801688,,46,1,2,,Non-Integrator,,,,Imprecise Navigator,Non-Integrator,1,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.612014275,,,,43.87428571
