participant,bad_pointing_different,bad_pointing_same,Study,SBSOD,gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,K_Means_Across_All,Model_Building_Average_Within,Education,New_or_Original,MRT
Original_Study1_1001,20.21423536,21.9792326,1,3.133333333,Male,47,0.489043184,0.210223545,0.808425836,3,0.509324691,2,Original,
Original_Study1_1002,58.27469586,9.80542444,1,5.533333333,Male, ,0.457136285,0.747308539,0.190508386,1,0.468908463,2,Original,
Original_Study1_1003,55.86273948,48.72043464,1,3.733333333,Male, ,0.382872214,0.728185191,0.629351261,2,0.678768226,2,Original,
Original_Study1_1004,25.72080813,7.870785002,1,4.733333333,Female, ,0.925947,0.889316816,0.83725153,3,0.863284173,2,Original,
Original_Study1_1005,44.36939342,17.99604561,1,4.733333333,Female,45,0.385930482,0.392962878,0.758849987,1,0.575906433,2,Original,
Original_Study1_1006,44.27300236,25.42556243,1,3.6,Female,43,0.155929036,0.242028987,0.040747828,1,0.141388408,2,Original,
Original_Study1_1007,40.70141722,25.56333775,1,5.4,Female, ,0.251371029,0.442423229,0.819924427,1,0.631173828,2,Original,
Original_Study1_1008,58.24076461,16.3871896,1,3.066666667,Female, ,0.073542213,0.499128959,0.211663291,1,0.355396125,2,Original,
Original_Study1_1009,25.35548882,22.92771528,1,6.466666667,Female,51,0.81123877,0.877579812,0.857402522,3,0.867491167,2,Original,
Original_Study1_1010,58.34281127,29.83165067,1,3.466666667,Female, ,0.501042467,0.439075746,0.419409209,2,0.429242478,2,Original,
Original_Study1_1011,48.14764118,32.10322053,1,3.733333333,Female, ,0.611558273,0.75875082,0.410349288,2,0.584550054,2,Original,
Original_Study1_1012,15.3353117,4.710319425,1,5,Male,54,0.937405919,0.909559734,0.766051069,3,0.837805402,2,Original,
Original_Study1_1013,54.84632016,23.092378,1,4.533333333,Female, ,0.401036164,0.363604357,0.778930833,1,0.571267595,2,Original,
Original_Study1_1014,50.12060922,46.01475651,1,3.266666667,Female, ,0.626289525,0.456219283,0.566624936,2,0.51142211,2,Original,
