Start_date,End_date,Progress,Duration_seconds,Finished,Recorded_date,Institution,PIN_TU_Only,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,Participant_UUID_Qualtrics,Participant_UUID_Qualtrics_Truncated
9/25/2020 13:29,9/25/2020 13:35,100,366,TRUE,9/25/2020 13:35,Temple,test,Female,22,Not Hispanic/Latino,White,,High School,,Right,English,,0078d5f8-963d-433b-9613-381e56c7c641 ,0078d5f8-963
10/27/2020 13:00,10/27/2020 13:02,100,163,TRUE,10/27/2020 13:02,UF,,Female,18,Hispanic/Latino,White,,High School,,Right,Spanish,4,02f447fe-12a1-48a2-8cc5-2af2f9b4c034,02f447fe-12a
11/2/2020 9:04,11/2/2020 9:08,100,249,TRUE,11/2/2020 9:08,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,04e2f80e-24b5-4804-869e-5d8cd97ad59c,04e2f80e-24b
11/11/2020 9:00,11/11/2020 9:03,100,183,TRUE,11/11/2020 9:03,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,05e1702e-4712-4c0a-a07c-fcd938791f95  ,05e1702e-471
10/21/2020 11:55,10/21/2020 11:59,100,227,TRUE,10/21/2020 11:59,UF,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,0689384c-416e-4368-8e1c-c4206e8a8e1c ,0689384c-416
9/24/2020 12:03,9/24/2020 12:06,100,178,TRUE,9/24/2020 12:06,UF,,Female,18,Not Hispanic/Latino,White,,College,,Right,English,,0866cc9c-f28c-41f9-8360-9bcc40c41259 ,0866cc9c-f28
10/8/2020 8:01,10/8/2020 8:03,100,113,TRUE,10/8/2020 8:03,UF,,Male,20,Not Hispanic/Latino,White,,High School,,Right,english,,0ac71f1f-1a28-4c3f-9dcb-9cae84b17b8a,0ac71f1f-1a2
9/17/2020 10:00,9/17/2020 10:02,100,119,TRUE,9/17/2020 10:02,UF,,Female,20,Not Hispanic/Latino,White,,High School,,Left,English,,0b4711b3-9099-43bf-b2ce-1f544330b56d,0b4711b3-909
6/18/2020 8:02,6/18/2020 8:03,100,90,TRUE,6/18/2020 8:03,Temple,3,Female,21,Not Hispanic/Latino,White,,High School,,Right,English ,,0d053164-3d7c-480d-a3d3-4feade8f021e,0d053164-3d7
9/24/2020 13:06,9/24/2020 13:10,100,192,TRUE,9/24/2020 13:10,Temple,47,Female,33,Hispanic/Latino,White,,High School,,Right,English,,0d244487-427c-4864-811d-d2101947484d,0d244487-427
10/26/2020 10:01,10/26/2020 10:03,100,130,TRUE,10/26/2020 10:03,UF,,Other,20,Hispanic/Latino,White,,College,,Right,English,,0d484b4b-820f-4cda-9fa3-827b3f00e934,0d484b4b-820
11/5/2020 13:57,11/5/2020 14:00,100,169,TRUE,11/5/2020 14:00,Temple,125,Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,English,,10b4bfcb-cef9-428c-931a-fe277682d93f,10b4bfcb-cef
11/6/2020 8:03,11/6/2020 8:04,100,105,TRUE,11/6/2020 8:04,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,1239fd57-e248-4ee2-9ecb-1b60c88a6f57,1239fd57-e24
10/8/2020 13:58,10/8/2020 14:00,100,156,TRUE,10/8/2020 14:00,UF,,Male,18,Hispanic/Latino,White,,College,,Left,English,,13673c5a-aaad-4e8c-9dd5-42d34feb16ff,13673c5a-aaa
7/16/2020 8:07,7/16/2020 8:09,100,84,TRUE,7/16/2020 8:09,UF,,Female,21,Hispanic/Latino,White,,College,,Right,english/spanish,,17653050-3727-4b71-8720-51b492af6321,17653050-372
10/1/2020 7:02,10/1/2020 7:06,100,225,TRUE,10/1/2020 7:06,UF,,Female,18,Hispanic/Latino,More Than One Race,,High School,,Right,Spanish,12,1de21aa7-3d5d-47f2-9fc7-d42816b9e966  ,1de21aa7-3d5
10/23/2020 8:02,10/23/2020 8:03,100,95,TRUE,10/23/2020 8:03,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,english,,247da523-61f9-4393-87a9-31214cf19d49,247da523-61f
10/1/2020 11:03,10/1/2020 11:09,100,374,TRUE,10/1/2020 11:09,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,2514a7b5-b029-42a2-8012-d742803f543c,2514a7b5-b02
10/15/2020 9:56,10/15/2020 9:59,100,171,TRUE,10/15/2020 9:59,UF,,Male,18,Not Hispanic/Latino,Asian,,High School,,Left,English,,2521b36f-b7d7-4f5b-b4a9-1b2b7bf02170,2521b36f-b7d
11/6/2020 14:03,11/6/2020 14:08,100,255,TRUE,11/6/2020 14:08,Temple,10027,Male,20,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,265bac2e-533a-4476-ba3d-168dc5bac0d1  ,265bac2e-533
10/15/2020 8:02,10/15/2020 8:05,100,164,TRUE,10/15/2020 8:05,UF,,Male,22,Not Hispanic/Latino,Asian,,High School,,Right,chinese,8,27225966-89dd-4e4f-ba69-6a4b22151d47,27225966-89d
7/22/2020 10:06,7/22/2020 10:08,100,144,TRUE,7/22/2020 10:08,UF,,Male,19,Hispanic/Latino,White,,High School,,Right,Spanish,5,291f642a-e7e2-42f9-a9c5-3c95c921e57a,291f642a-e7e
8/6/2020 10:00,8/6/2020 10:04,100,242,TRUE,8/6/2020 10:04,UF,,Female,20,Not Hispanic/Latino,Asian,,High School,,Right,Mandarine,10,2d1b13ee-66f3-429b-b0d1-2ce796310753,2d1b13ee-66f
9/24/2020 8:06,9/24/2020 8:09,100,174,TRUE,9/24/2020 8:09,UF,,Female,18,Hispanic/Latino,White,,High School,,Right,English,,30d13979-dada-410d-86c9-fb704e7a04a8,30d13979-dad
10/12/2020 8:03,10/12/2020 8:08,100,264,TRUE,10/12/2020 8:08,UF,,Male,18,Not Hispanic/Latino,More Than One Race,,High School,,Right,English,,3537167e-74b4-4495-bb0d-83474698babf,3537167e-74b
