good_pointing_coding_between,good_pointing_coding_within,bad_pointing_coding_between,bad_pointing_coding_within,trackpad/mouse,Site,Experimenter ,NOTES,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,participant,Participant_UUID_Silcton,date,MRT,SBSOD,New_or_Original,Education_Numeric,Overall_r,Overall_rsquared,Overall_angle,Overall_x_scale,Overall_y_scale,Overall_distortion_index,Batty_r,Batty_rsquared,Batty_angle,Batty_x_scale,Batty_y_scale,Batty_distortion_index,Golledge_r,Golledge_rsquared,Golledge_angle,Golledge_x_scale,Golledge_y_scale,Golledge_distortion_index,good_pointing_coding_total,bad_pointing_coding_total,Study,Motivation,Buildings_ID,Differently_Classified,Ethnicity,WRAT,Buildings_Percent,Study_Combined_Correct,Cluster_Matches,K_Means_Across_All,SAQ,Total_Time_in_Environment,Within_rsquared_average
78.22745098,27.16140785,53.77821809,18.477137,trackpad ,Temple,Elisabeth,Lots of chatter in the background,Male,21,Not Hispanic/Latino,Asian,,College,,Right,english,,1,ee0f71d3-1a67-48c8-be1a-b505695ffa31,2020-06-03 17:02:30 UTC,6,4.8,New,,0.814398364,0.663244696,53.18654605,0.745342546,0.745342546,0.336755304,0.790136763,0.624316104,-84.23042977,0.813587475,0.813587475,0.375683896,0.810929087,0.657605984,63.45333484,1.234063218,1.234063218,0.342394016,56.34200392,38.64918334,,,,,,,,,,,,,0.640961044
35.05201226,12.81686632,27.02128719,12.11678055,mouse,UF,Brandi ,"mac, ios, firefox. participant closed the wrong link at the beginning so i had them redo the survey (old id: 7d377104-7cb6-4703-badc-6829fbe5e94c ). other than this, no problems; routes loaded very quickly and the VE ran very smoothly ",Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,English,,100,7bc64d0c-08fa-410c-beaa-e6e3ad9831fc,2020-10-16 14:09:49 UTC,34,2.666666667,New,,0.981262888,0.962876856,38.35404452,0.874523012,0.874523012,0.037123144,0.974661539,0.949965116,48.92971612,0.835818591,0.835818591,0.050034884,0.979673233,0.959759643,19.27482185,1.007650882,1.007650882,0.040240357,25.522664,20.63364149,,,,,,,,,,,,,0.954862379
46.90887339,17.43943613,33.87814833,13.5726837,mouse,Temple,Maddy,"Laptop. No option to share portion of screen, but was able to optimize for sharing a video clip. Took time to immerse self in the MRT practice problems- taking time on answering, and took time to see why incorrect answers were incorrect. Asked later if there is any way to see how they did on the MRT because they felt they did poorly. Took the time to look around lots in the virtual environment and relate routes to each other",Male,18,Not Hispanic/Latino,Asian,,High School,,Right,Telugu,5,101,637ab224-9edf-48e8-a297-e8af174201d0,2020-10-16 16:11:34 UTC,26,2.733333333,New,,0.96254882,0.926500231,-3.018569916,0.801416517,0.801416517,0.073499769,0.9206763,0.847644849,-0.95392895,0.87449183,0.87449183,0.152355151,0.916262417,0.839536817,-0.094969141,0.95021043,0.95021043,0.160463183,34.27911456,25.17580634,,,,,,,,,,,,,0.843590833
44.62639493,28.40415205,32.21300788,15.15797812,trackpad,UF,Rachel,Used chrome; Timed out of MRT; Silcton loaded really quickly on eduroam wifi and chrome,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,102,d89053b1-22b0-4ae4-8768-4f233e773b1a,2020-10-20 14:03:49 UTC,30,3.066666667,New,,0.469643637,0.220565146,-32.1644838,0.368053217,0.368053217,0.779434854,0.825268753,0.681068515,70.81237523,0.872558529,0.872558529,0.318931485,0.884038771,0.781524548,35.47933547,0.886640199,0.886640199,0.218475452,37.67400512,24.90370941,,,,,,,,,,,,,0.731296532
63.83585475,18.21665185,43.71037496,16.58766633,trackpad,UF,Rachel,Used Chrome ,Female,20,Hispanic/Latino,White,,High School,,Right,Spanish,14,104,c83f657b-3801-41a3-b556-e2e4bc1af604,2020-10-21 14:03:15 UTC,56,2.466666667,New,,0.753246254,0.567379919,82.69562618,0.711239768,0.711239768,0.432620081,0.782814827,0.612799054,79.94287478,1.074958814,1.074958814,0.387200946,0.808588012,0.653814574,-10.51699289,0.971702419,0.971702419,0.346185426,44.28476779,32.08635698,,,,,,,,,,,,,0.633306814
53.49372235,15.57676421,35.25270451,11.59687908,trackpad,UF,Amanda,"mac, ios, chrome, once participant finished the pointing task, it went ot map task, but then flashed back to pointing task for a minute. Participant said they did not press any buttons from here and pointing task screen was up for about 20 seconds, then map task loaded again- hopefully all judegements were recorded correctly ",Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,105,fe20bb37-07f7-4c4c-a13e-c4125a6b5795,2020-10-21 14:07:50 UTC,24,3.8,New,,0.629318048,0.396041205,67.39622552,0.567901865,0.567901865,0.603958795,0.697995552,0.487197791,-31.21925466,0.787876684,0.787876684,0.512802209,0.824295855,0.679463657,57.30472761,1.134513145,1.134513145,0.320536343,37.24359743,25.11449361,,,,,,,,,,,,,0.583330724
32.6096,20.90862315,26.34545209,16.37339532,trackpad,UF,Rachel,"Using Chrome; Could hear a smoke detector chirping in the background; Timed out of MRT pt 1; After finished route 1, the screen froze and participant couldn't escape the virtual world so after stopping screen share and starting it back again this worked and the participant was able to click ""I am Finished"" to load the 2nd route; ",Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,106,84949345-3d43-4edf-b863-27cc8e2f4173,2020-10-21 16:03:13 UTC,20,3.4,New,,0.905750486,0.820383942,-16.95167923,0.827781572,0.827781572,0.179616058,0.916985253,0.840861954,-9.257166406,0.917319847,0.917319847,0.159138046,0.964271203,0.929818953,-65.94859669,1.227430488,1.227430488,0.070181047,27.59489563,22.07171348,,,,,,,,,,,,,0.885340454
53.84209017,20.08983799,35.9867005,13.86648037,mouse,UF,Rachel,Using chrome; Timed out of MRT pt 1 and 2; ,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,107,0689384c-416e-4368-8e1c-c4206e8a8e1c,2020-10-21 18:00:42 UTC,10,2.866666667,New,,0.829006663,0.687252047,38.32748502,0.84999034,0.84999034,0.312747953,0.755295899,0.570471896,77.8890882,0.904511325,0.904511325,0.429528104,0.755203192,0.570331861,57.63243164,1.053961648,1.053961648,0.429668139,39.37683924,26.50660616,,,,,,,,,,,,,0.570401878
79.03865112,37.68801219,70.00484012,21.05070031,trackpad,UF,Amanda,"windows, chrome, first judgement on pointing task was frozen, participant pressed escape when I told them to get out of full screen but it took that as a selection for first two judgements; tool bar for zoom kept showing up again and covering prompt, but when participant tried to hide video panel while in full screen, it froze;for map task, participant accidentally placed building too far out of box and it disappeared (tobler museum)",Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,108,3b2f3e72-e644-4f9d-96a7-401c196d66b1,2020-10-22 14:04:00 UTC,4,3.533333333,New,,,,,,,,,,,,,,,,,,,,61.31694872,49.02449449,,,,,,,,,,,,,
42.09230367,19.76645951,33.07874287,9.916718266,trackpad,UF,Brandi,"mac, ios, chrome. no issues, everything loaded quicky",Female,20,Hispanic/Latino,White,,High School,,Right,Spanish,5,109,f5f5d367-0c58-4cd6-a2b1-b984b763fc05,2020-10-22 14:04:26 UTC,56,5.8,New,,0.859429722,0.738619447,-34.17650567,0.908001865,0.908001865,0.261380553,0.937296484,0.878524698,-31.5749881,1.433827976,1.433827976,0.121475302,0.865833105,0.749666966,1.203750348,1.382812216,1.382812216,0.250333034,32.52408475,23.1521609,,,,,,,,,,,,,0.814095832
