participant,date,condition,model number,building,x,y,error
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Batty House,108,535,275.1908429
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Lynch Station,3,321,197.2054766
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Harvey House,511,491,217.0829335
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Tobler Museum,610,2,167.5977327
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Sauer Center,609,178,173.738309
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Snow Church,459,323,282.7949787
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Golledge Hall,257,54,387.8375949
Rep ABCD PILOT_2,2020-08-21 04:20:03 UTC,,0,Harris Hall,264,252,55.47071299
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Batty House,108,508,249.5135267
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Lynch Station,15,342,218.0206412
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Harris Hall,260,317,101.5184712
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Harvey House,405,384,150.0733154
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Golledge Hall,485,194,125.09996
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Snow Church,634,114,122.4948979
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Sauer Center,506,6,119.0042016
Rep ABCD PILOT_4,2020-08-21 06:04:56 UTC,,0,Tobler Museum,343,62,161.5549442
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Lynch Station,10,223,99.02019996
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Golledge Hall,659,7,299.4678614
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Sauer Center,319,25,306.6528982
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Snow Church,684,224,37.21558813
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Harvey House,690,378,410.2011702
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Tobler Museum,19,29,483.0372656
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Harris Hall,535,448,389.4663015
Rep ABCD_5,2020-09-20 02:13:06 UTC,,0,Batty House,476,209,453.3982797
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Lynch Station,532,431,603.8617391
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Batty House,719,445,713.2972732
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Golledge Hall,203,372,369.9756749
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Tobler Museum,522,100,36.40054945
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Sauer Center,439,5,186
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Snow Church,282,238,435.2528001
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Harvey House,178,139,364.92739
Rep ABCD_6,2020-09-24 03:13:00 UTC,,0,Harris Hall,407,364,236.4487259
