StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q30,Q25,Q23,Q1.3,Q1.4,Q1.4_1_TEXT,Q2.1,Q2.2,Q2.3,Q2.4,Q2.4_8_TEXT,Q2.5,Q2.5_5_TEXT,Q2.6,Q2.7,Q2.8,Q26,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You must participate in this experiment under the supervision of an experimenter. The SONA slot you signed up for is for a specific time. At that time, your experimenter will contact you with the password to continue the survey at the time you signed up for on SONA. If you cannot make that time, please cancel your SONA slot.",Through which institution are you participating in this experiment?,Please enter PIN:,I affirm that I am at least 18 years of age.,"By clicking ""I Accept,"" and entering my initials, I consent to this study. I may withdraw at any time. By clicking ""I Decline,"" I do not consent to this study and do not wish to participate. - Selected Choice","By clicking ""I Accept,"" and entering my initials, I consent to this study. I may withdraw at any time. By clicking ""I Decline,"" I do not consent to this study and do not wish to participate. - I Accept. - Text",Gender:,What is your age?,Ethnic category:,Racial Category: - Selected Choice,Racial Category: - Other: - Text,Highest level of education completed: - Selected Choice,Highest level of education completed: - Other: - Text,Which hand do you write with?,What is the first language you learned?,At what age did you start speaking English fluently?,"Great! That just about wraps up the demographics and consent process. BUT - you still have one important thing to do on this survey. So, don't close or submit just yet. 
Please navigate to this website: https://virtual-ambler-staging.herokuapp.com/study/753798758 

Once there, you should see a prominently displayed alphanumeric ID number. Please copy that ID and paste it below. Once you've done that, please submit this survey, then complete the rest of the study on the other website. 
Thanks!",id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_1_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_8_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""id""}"
2020-05-22 11:17:17,2020-05-22 11:20:06,IP Address,98.110.89.166,100,169,True,2020-05-22 11:20:07,R_pcPRuhUT2zHLtpn,,,,,40.3343963623046875,-74.7949981689453125,anonymous,EN,,Temple University,test,I am at least 18 years of age.,I Accept.,EBJ,Female,,,,,,,,,,aeced37d-dbe9-438a-b762-eda4e2a833da,
2020-05-20 20:47:11,2020-05-20 20:47:34,IP Address,124.190.59.81,40,22,False,2020-05-27 20:48:09,R_1LVf2HlT7Unj5u1,,,,,,,anonymous,EN,,The University of Florida,,,,,,,,,,,,,,,,
2020-05-22 10:30:41,2020-05-22 10:30:53,IP Address,98.110.89.166,7,11,False,2020-05-29 10:30:58,R_1lbOs4gEhH6LCVS,,,,,,,anonymous,EN,,Temple University,,,,,,,,,,,,,,,,
2020-06-03 10:59:00,2020-06-03 11:54:40,IP Address,71.246.17.250,100,3340,True,2020-06-03 11:54:40,R_3knMVna01uILXgr,,,,,40.32049560546875,-75.35199737548828125,anonymous,EN,,Temple University,1,I am at least 18 years of age.,I Accept.,"Vijay Patel ",Male,21,Not Hispanic/Latino,Asian,,College,,Right,english,,ee0f71d3-1a67-48c8-be1a-b505695ffa31,
2020-06-03 12:58:42,2020-06-03 13:01:45,IP Address,69.136.73.227,100,183,True,2020-06-03 13:01:45,R_2bQotjVU8wsDPeg,,,,,40.12860107421875,-75.05840301513671875,anonymous,EN,,Temple University,2,I am at least 18 years of age.,I Accept.,JW,Female,28,Not Hispanic/Latino,Black/African American,,Other:,Associate's,Right,English,,af7ded8f-330c-43b0-9362-1092b04f5924,
2020-06-18 08:02:25,2020-06-18 08:03:55,IP Address,98.118.30.78,100,90,True,2020-06-18 08:03:56,R_2bIVHyE2NCAqwFM,,,,,42.0214996337890625,-71.21880340576171875,anonymous,EN,,Temple University,3,I am at least 18 years of age.,I Accept.,MS,Female,21,Not Hispanic/Latino,White,,High School,,Right,"English ",,0d053164-3d7c-480d-a3d3-4feade8f021e,
2020-06-24 08:07:31,2020-06-24 08:10:19,IP Address,68.80.47.34,100,167,True,2020-06-24 08:10:19,R_2QQJ61fymQkxPIj,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,Temple University,4,I am at least 18 years of age.,I Accept.,NSM,Male,25,Not Hispanic/Latino,More Than One Race,,High School,,Right,English,,fd0502ab-0f88-4e90-8604-cd3202f970a3,
2020-07-02 08:33:15,2020-07-02 08:35:44,IP Address,108.48.5.67,100,149,True,2020-07-02 08:35:45,R_3e8f9Nii1FpkjOq,,,,,38.7783050537109375,-77.1219024658203125,anonymous,EN,templeuf,Temple University,5,I am at least 18 years of age.,I Accept.,JG,Female,21,Not Hispanic/Latino,Black/African American,,College,,Left,"English ",,ad307664-2349-428f-93ac-d8c398c606df,
2020-07-09 12:05:52,2020-07-09 12:12:45,IP Address,71.214.9.130,100,412,True,2020-07-09 12:12:45,R_3MybwobuhLuQgHL,,,,,28.8928070068359375,-81.7852020263671875,anonymous,EN,templeuf,The University of Florida,,,,,Female,23,Hispanic/Latino,,,College,,Right,English,,"36f0e279-76e8-4b04-b8b6-b69df44db011 ",
2020-07-15 13:22:16,2020-07-15 14:28:26,IP Address,47.198.11.240,100,3969,True,2020-07-15 14:28:26,R_2VqmkB9Ng06Mxsw,,,,,28.0475006103515625,-82.61479949951171875,anonymous,EN,templeuf,The University of Florida,,,,,Female,18,Not Hispanic/Latino,White,,High School,,Right,"English ",,abbea591-a10a-4c9a-a2db-8ba5e68c9ff7,
2020-07-16 08:03:12,2020-07-16 08:06:19,IP Address,68.105.172.50,100,186,True,2020-07-16 08:06:19,R_3Ks8S5JZ35Z9MLD,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,templeuf,The University of Florida,,,,,Female,21,Hispanic/Latino,White,,College,,Right,English/Spanish,,https://virtual-ambler-staging.herokuapp.com/study/753798758,
