participant_meta,DROP,NOTES,Participant UUID ALTERNATE,Participant UUID RAW,Participant UUID,DATE RUN,TIME RUN,trackpad/mouse,Site,Experimenter ,Silcton load time
1,,Lots of chatter in the background,,ee0f71d3-1a67-48c8-be1a-b505695ffa31,ee0f71d3-1a67-48c8-be1a-b505695ffa31,6/3/2020,,trackpad ,Temple,Elisabeth,
2,,,,af7ded8f-330c-43b0-9362-1092b04f5924,af7ded8f-330c-43b0-9362-1092b04f5924,6/3/2020,,trackpad,Temple,Elisabeth,
2,,"participant saw same route twice (first one), went to link in instructions, NEW uuid: cc32f559-6eee-4d21-a74e-3731af83987e went through the routes, at end of all routes number: 0002, went back to original study, completed the 2 tasks, at end the number was 0002",cc32f559-6eee-4d21-a74e-3731af83987e,OLD: 85de446c-8a08-47d8-919c-4ec9881c9b44,85de446c-8a08-47d8-919c-4ec9881c9b44,9/25/2020,11:00 AM,trackpad,Temple,Sabrina,
3,,Unable to turn completely  ,,0d053164-3d7c-480d-a3d3-4feade8f021e,0d053164-3d7c-480d-a3d3-4feade8f021e,6/18/2020,,trackpad,Temple,Elisabeth,
4,,Pointing was so laggy that we quit it and moved on to the model-building (he was not able to rotate around fully and it was extremely slow),,fd0502ab-0f88-4e90-8604-cd3202f970a3,fd0502ab-0f88-4e90-8604-cd3202f970a3,6/24/2020,,trackpad,Temple,Elisabeth,
5,DROP,"unable to turn completely, saw Gollege and C2 twice ",,ad307664-2349-428f-93ac-d8c398c606df,ad307664-2349-428f-93ac-d8c398c606df,7/2/2020,,trackpad,Temple,Elisabeth,
6,,"Participant did not have enough time to complete MRT part 1/2 despite me explaining the 3 minute time limit, perhaps the MRT should show a live timer? Silcton showed the first route twice. Participant viewed route 2 on the back up link and then proceeded to finish the study with no other issues.",,"bbedc7c2-3caa-428e-b7ef-fa56023fba70 
","bbedc7c2-3caa-428e-b7ef-fa56023fba70 
",9/30/2020,3:00 PM,,Temple,Mitch,
7,,Subject struggled for first half of the first direction of Batty route with controls,,36f0e279-76e8-4b04-b8b6-b69df44db011,36f0e279-76e8-4b04-b8b6-b69df44db011,7/9/2020,2pm,trackpad,UF,Steven,4 minutes for first environment
8,,"laptop, windows, internet explorer; pointiing task was frozen on first judgement, but when participant pressed escape, the zoom controls showed up again and the screen un-froze, however, they did not tell me until 3 judgements had passed that they could not see the prompt at the top because the control panel was covering it and when they hid the control panel, it would freeze. We waited and pressed escape and went back into it without control panel again and it seemed to be working fine and participant was able to adequately make the rest of the judgements; when we were troubleshooting, I sent backup link without realizing it only had the routes, so a new ID was generated: 91e1e170-f152-42f2-b7c3-6dc21dc16cf9",91e1e170-f152-42f2-b7c3-6dc21dc16cf9,2514a7b5-b029-42a2-8012-d742803f543c,2514a7b5-b029-42a2-8012-d742803f543c,10/1/2020,1:00 PM,trackpad,UF,Amanda,
9,DROP,"No option to ""optimizie screen share""; Lagging on my end, fine on participant's end. Moved on before I could record participant ID. Practice for mental rotation task was difficult for participant, took multiple times to understand which portions to select and deselect. Clicked multiple times waiting for first screen to load- realized fully after last route that he missed ""route 1""- I asked if he felt he had learned all 8 buildings and he said yes, so I told him we would continue. Hard to tell how precise/involved he was being on pointing task because of lag. Participant accidentally marked as ""pilot subject"" on virtual Silcton.",,28e02877-cd57-46b9-887b-46da7dff1cd2,28e02877-cd57-46b9-887b-46da7dff1cd2,7/10/2020,8am,mouse,UF,Amanda,
9,,"said it was lagging on their end a little bit; it looked a bit laggy to me, but hard to tell actually how bad it was for them.",,222d5885-c12f-43ed-a86e-2e708bdf149c,222d5885-c12f-43ed-a86e-2e708bdf149c,7/14/2020,10am,mouse,UF,Brandi,
9,DROP,"The  participant ran out of time during both sections of the MRT. After route 1, the participant skipped route 2 (I think she clicked “I’m Finished” twice). They went to the backup link (BACKUP ID: 78d65262-ce9e-4317-a9ba-a030f1126030) to complete the routes. She then went to the original study page to do the pointing task. It was a bit laggy at first, but hitting escape button and reentering the screen fixed it. ",,OLD: e79a8471-63d2-4295-8e8e-4d224f5f26e7,e79a8471-63d2-4295-8e8e-4d224f5f26e7,10/1/2020,2:00 PM,trackpad,Temple,Sarah,
10,,"No option to ""optimize""- said it was a little slow but not laggy; participation seemed iffy but I could tell the participant went through the routes in their head while constructing the map",,166B10D4-B83C-4E85-AE25-3963D74CC563,166B10D4-B83C-4E85-AE25-3963D74CC563,7/10/2020,9:30am,trackpad,UF,Amanda,
10,DROP,"no refreshing, but somehow the first two routes were exactly the same; participant had issues with mouse on pointing task, switched to trackpad",,506d932a-a47c-4d2a-988e-d40711228530,506d932a-a47c-4d2a-988e-d40711228530,7/15/2020,3:00pm,mouse,UF,Amanda,5 min
11,,restarted the qualtrics survey becuase they somehow moved on without copy/pasting their silcton unique ID (i think they literally copied the link instead of clicking on it),,0c7815a0-42d2-461a-acb0-75c2a0d62d1c,0c7815a0-42d2-461a-acb0-75c2a0d62d1c,7/16/2020,10am,trackpad ,UF,Brandi,
12,,"nothing showed up on the ""instruction"" portion of the mental rotation task, but worked after refreshing the page. participant had a very dificult time with the mental rotation task. Also had some dificulty navigating the world (using trackpad and arrow keys together), but eventually seemed to get the hang of it.",,93b4bc24-8c25-4781-a882-0c8aa02d4630,93b4bc24-8c25-4781-a882-0c8aa02d4630,7/16/2020,12pm,trackpad,UF,Brandi,
12,,"Participant clicked I am finished twice and skipped a route, had to view back up link. Participant re-filled out consent form before I could ask them to copy their new ID. Silcton was lagging and taking a very long time to load each route. This caused the study to run over two hours long, however the participant remained attentive and finished the study. ",,"a5d65712-0aa6-43b4-86dc-1dbbe6261e92
","a5d65712-0aa6-43b4-86dc-1dbbe6261e92
",10/1/2020,3:00 PM,trackpad,Temple,Mitch,
13,,"participant said that screen share cut off a portion of their screen. walking task was a ittle bit laggy, but doable ",,972a4fb5-7887-49f1-9575-979b45d9a1d6,972a4fb5-7887-49f1-9575-979b45d9a1d6,7/21/2020,10am,mouse,UF,Brandi,
