"participant","date","model number","building","x","y","error"
"0001","2020-06-03 17:02:30 UTC","0","Batty House","364","522","419.6057673578856"
"0001","2020-06-03 17:02:30 UTC","0","Lynch Station","307","364","380.2959373961284"
"0001","2020-06-03 17:02:30 UTC","0","Harris Hall","552","326","351.52382565055245"
"0001","2020-06-03 17:02:30 UTC","0","Harvey House","592","132","461.96644899819296"
"0001","2020-06-03 17:02:30 UTC","0","Golledge Hall","335","22","353.2732653343584"
"0001","2020-06-03 17:02:30 UTC","0","Snow Church","140","91","587.1728876574599"
"0001","2020-06-03 17:02:30 UTC","0","Sauer Center","23","226","641.2838685013057"
"0001","2020-06-03 17:02:30 UTC","0","Tobler Museum","27","439","563.6000354861593"
"0002","2020-06-03 19:02:32 UTC","0","Lynch Station","296","33","298.22307087145356"
"0002","2020-06-03 19:02:32 UTC","0","Batty House","230","22","322.03881753602315"
"0002","2020-06-03 19:02:32 UTC","0","Sauer Center","422","422","463.786588853106"
"0002","2020-06-03 19:02:32 UTC","0","Harris Hall","220","426","200.06249023742558"
"0002","2020-06-03 19:02:32 UTC","0","Tobler Museum","546","307","192.4421991144354"
"0002","2020-06-03 19:02:32 UTC","0","Snow Church","82","176","634.6629026499028"
"0002","2020-06-03 19:02:32 UTC","0","Harvey House","560","159","420.7517082555934"
"0002","2020-06-03 19:02:32 UTC","0","Golledge Hall","79","300","485.0834979671026"
"0003","2020-06-18 14:04:28 UTC","0","Batty House","41","439","167.5857989210303"
"0003","2020-06-18 14:04:28 UTC","0","Lynch Station","16","188","64.1248781675256"
"0003","2020-06-18 14:04:28 UTC","0","Harris Hall","258","153","84.72307831990054"
"0003","2020-06-18 14:04:28 UTC","0","Harvey House","393","300","209.82373554962746"
"0003","2020-06-18 14:04:28 UTC","0","Golledge Hall","431","22","300.0833217624732"
"0003","2020-06-18 14:04:28 UTC","0","Sauer Center","651","232","228.4841351166422"
"0003","2020-06-18 14:04:28 UTC","0","Tobler Museum","612","427","327.39273052406037"
"0003","2020-06-18 14:04:28 UTC","0","Snow Church","679","58","151.58495967608397"
"0004","2020-06-24 14:10:57 UTC","0","Tobler Museum","575","191","107.16809226630845"
"0004","2020-06-24 14:10:57 UTC","0","Golledge Hall","489","67","236.22235287965447"
"0004","2020-06-24 14:10:57 UTC","0","Snow Church","337","179","379.8907737758315"
"0004","2020-06-24 14:10:57 UTC","0","Sauer Center","452","279","324.04474999604605"
"0004","2020-06-24 14:10:57 UTC","0","Lynch Station","34","178","58.309518948453004"
"0004","2020-06-24 14:10:57 UTC","0","Harvey House","76","409","230.8679276123039"
"0004","2020-06-24 14:10:57 UTC","0","Batty House","308","461","338.64730915806786"
"0004","2020-06-24 14:10:57 UTC","0","Harris Hall","224","96","130.31116606031887"
"0005","2020-07-02 14:35:58 UTC","0","Lynch Station","376","240","382.03664745675906"
"0005","2020-07-02 14:35:58 UTC","0","Sauer Center","436","52","194.7562579225633"
"0005","2020-07-02 14:35:58 UTC","0","Tobler Museum","169","122","324.0"
