participant,date,condition,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
1,2020-06-03 17:02:30 UTC,UF_TU,0,Batty House,Lynch Station,Tobler Museum,-55,37.30802198,92.30802198,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Batty House,Lynch Station,Harvey House,-20,93.19423766,113.1942377,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Batty House,Lynch Station,Snow Church,-5,48.19947553,53.19947553,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Batty House,Lynch Station,Harris Hall,-24,37.5286373,61.5286373,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Batty House,Lynch Station,Golledge Hall,19,51.76768154,32.76768154,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Batty House,Lynch Station,Lynch Station,-55,-47.32798389,7.672016108,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Batty House,Lynch Station,Sauer Center,1,30.3316951,29.3316951,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Lynch Station,Harris Hall,Batty House,126,130.6542463,4.654246333,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Lynch Station,Harris Hall,Tobler Museum,-122,-17.95076442,104.0492356,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Lynch Station,Harris Hall,Harvey House,-9,48.19593801,57.19593801,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Lynch Station,Harris Hall,Sauer Center,-6,-29.20903342,23.20903342,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Lynch Station,Harris Hall,Harris Hall,-26,7.021704671,33.02170467,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Lynch Station,Harris Hall,Golledge Hall,4,-3.323863738,7.323863738,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Lynch Station,Harris Hall,Snow Church,-51,-8.968174613,42.03182539,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harris Hall,Harvey House,Harvey House,-66,-2.146796904,63.8532031,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harris Hall,Harvey House,Batty House,121,83.35216568,37.64783432,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harris Hall,Harvey House,Lynch Station,125,114.5627943,10.43720572,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harris Hall,Harvey House,Tobler Museum,-109,-99.95984558,9.040154418,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harris Hall,Harvey House,Sauer Center,-66,-110.6574336,44.65743363,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harris Hall,Harvey House,Golledge Hall,-66,-77.71082192,11.71082192,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harris Hall,Harvey House,Snow Church,-106,-84.7281122,21.2718878,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harvey House,Harris Hall,Lynch Station,16,-32.28246429,48.28246429,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harvey House,Harris Hall,Snow Church,101,66.19140238,34.80859762,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harvey House,Harris Hall,Sauer Center,100,46.29205396,53.70794604,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harvey House,Harris Hall,Harris Hall,18,-4.196894849,22.19689485,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harvey House,Harris Hall,Golledge Hall,97,64.9530254,32.0469746,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harvey House,Harris Hall,Batty House,15,-46.54689912,61.54689912,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Harvey House,Harris Hall,Tobler Museum,100,42.14615863,57.85384137,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Golledge Hall,Snow Church,Tobler Museum,-146,-147.0284471,1.028447062,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Golledge Hall,Snow Church,Harris Hall,-179,176.2022806,4.797719386,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Golledge Hall,Snow Church,Sauer Center,-73,-76.21088344,3.210883445,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Golledge Hall,Snow Church,Harvey House,175,139.9309368,35.06906322,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Golledge Hall,Snow Church,Snow Church,0,1.204134401,1.204134401,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Golledge Hall,Snow Church,Batty House,17,173.5694617,156.5694617,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Golledge Hall,Snow Church,Lynch Station,17,-173.9683139,169.0316861,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Snow Church,Sauer Center,Lynch Station,110,-79.44851915,170.5514808,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Snow Church,Sauer Center,Golledge Hall,-112,-125.8431145,13.84311455,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Snow Church,Sauer Center,Harvey House,110,-119.6929579,130.3070421,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Snow Church,Sauer Center,Harris Hall,110,-88.09346154,161.9065385,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Snow Church,Sauer Center,Batty House,110,-90.64700942,159.3529906,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Snow Church,Sauer Center,Sauer Center,2,-0.279262352,2.279262352,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Snow Church,Sauer Center,Tobler Museum,-62,-63.69277617,1.692776166,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Sauer Center,Tobler Museum,Snow Church,-69,-89.63525726,20.63525726,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Sauer Center,Tobler Museum,Batty House,-69,6.744508622,75.74450862,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Sauer Center,Tobler Museum,Harris Hall,-69,4.240040564,73.24004056,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Sauer Center,Tobler Museum,Harvey House,-69,-23.09134403,45.90865597,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Sauer Center,Tobler Museum,Lynch Station,-69,17.76205492,86.76205492,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Sauer Center,Tobler Museum,Tobler Museum,-6,2.713388186,8.713388186,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Sauer Center,Tobler Museum,Golledge Hall,-44,-51.85616181,7.856161813,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Tobler Museum,Sauer Center,Lynch Station,38,-156.2355625,165.7644375,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Tobler Museum,Sauer Center,Batty House,38,-171.0086651,150.9913349,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Tobler Museum,Sauer Center,Snow Church,38,38.78279809,0.782798086,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Tobler Museum,Sauer Center,Harris Hall,30,-173.2852643,156.7147357,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Tobler Museum,Sauer Center,Sauer Center,6,-20.69981416,26.69981416,same,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Tobler Museum,Sauer Center,Harvey House,36,147.248191,111.248191,different,FALSE
1,2020-06-03 17:02:30 UTC,UF_TU,0,Tobler Museum,Sauer Center,Golledge Hall,110,67.30353066,42.69646934,same,FALSE
2,2020-06-03 19:02:32 UTC,UF_TU,0,Batty House,Lynch Station,Lynch Station,-27,-47.32798389,20.32798389,same,FALSE
2,2020-06-03 19:02:32 UTC,UF_TU,0,Batty House,Lynch Station,Harris Hall,37,37.5286373,0.528637304,same,FALSE
2,2020-06-03 19:02:32 UTC,UF_TU,0,Batty House,Lynch Station,Golledge Hall,66,51.76768154,14.23231846,different,FALSE
