"participant","date","total score","average score","q1 (should be reverse coded)","q2","q3 (should be reverse coded)","q4 (should be reverse coded)","q5 (should be reverse coded)","q6","q7 (should be reverse coded)","q8","q9 (should be reverse coded)","q10","q11","q12","q13","q14 (should be reverse coded)","q15"
"0001","2020-06-03 17:05:02 UTC","72","4.8","2","6","3","2","7","6","4","5","4","5","4","6","4","4","6"
"0002","2020-06-03 19:04:46 UTC","50","3.3333333333333335","5","6","3","5","7","3","6","5","6","3","2","7","4","7","3"
"0003","2020-06-18 14:05:20 UTC","78","5.2","2","6","4","1","7","3","4","6","2","7","5","7","5","3","6"
"0004","2020-06-24 14:12:28 UTC","82","5.466666666666667","6","5","1","1","2","6","3","7","2","5","1","7","6","3","7"
"0005","2020-07-02 14:37:47 UTC","74","4.933333333333334","2","4","3","1","1","3","3","5","4","6","5","7","3","3","2"
"0007","2020-07-09 18:17:50 UTC","86","5.733333333333333","1","7","4","3","1","4","4","7","3","7","7","7","1","1","7"
"0009","2020-07-14 14:08:00 UTC","72","4.8","3","2","1","3","7","1","3","7","3","6","7","6","3","2","6"
"0010","2020-07-10 13:33:36 UTC","76","5.066666666666666","4","6","3","3","6","4","5","6","3","6","6","6","4","1","7"
"0011","2020-07-16 14:12:36 UTC","87","5.8","2","5","1","1","7","6","2","6","3","7","7","5","7","2","6"
"0012","2020-07-16 16:21:59 UTC","57","3.8","2","6","6","6","6","4","7","4","6","4","5","7","5","5","4"
"0013","2020-07-21 14:12:04 UTC","46","3.066666666666667","5","5","1","5","7","2","6","3","6","2","3","6","1","5","3"
"0014","2020-07-21 19:18:10 UTC","63","4.2","2","5","2","2","6","1","5","5","2","1","7","7","1","5","4"
"0015","2020-07-22 16:10:55 UTC","57","3.8","3","3","2","3","6","1","6","3","6","6","5","7","2","6","6"
"0016","2020-07-23 14:09:20 UTC","71","4.733333333333333","4","4","3","6","6","6","4","5","4","6","4","7","6","2","6"
"0017","2020-07-23 16:19:06 UTC","83","5.533333333333333","2","6","3","2","2","5","3","6","3","6","4","6","6","3","6"
"0018","2020-07-23 17:16:49 UTC","59","3.933333333333333","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"0019","2020-07-27 13:57:42 UTC","57","3.8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0020","2020-07-28 16:05:32 UTC","75","5.0","3","1","5","1","1","5","2","7","2","2","1","7","6","2","6"
"0021","2020-07-30 14:09:16 UTC","68","4.533333333333333","2","5","4","3","6","4","6","5","3","5","4","5","6","3","5"
"0023","2020-08-04 14:26:35 UTC","81","5.4","2","3","4","2","3","6","1","6","2","4","5","7","5","3","6"
"0024","2020-08-04 16:13:56 UTC","34","2.2666666666666666","6","4","5","6","7","1","7","2","6","3","3","5","1","5","1"
"0025","2020-08-05 16:20:30 UTC","74","4.933333333333334","2","6","2","2","7","6","2","5","3","1","5","6","3","2","6"
"0026","2020-08-05 18:41:14 UTC","64","4.266666666666667","2","3","2","4","6","2","6","6","5","5","6","6","3","3","5"
"0027","2020-08-06 14:06:57 UTC","56","3.7333333333333334","3","5","3","4","7","3","6","5","5","5","4","5","3","5","3"
"0028","2020-08-06 16:06:56 UTC","35","2.3333333333333335","2","4","5","6","7","2","6","1","5","1","2","5","1","7","1"
"0029","2020-08-10 16:18:16 UTC","57","3.8","4","2","3","4","6","3","3","4","2","2","4","5","4","6","5"
"0030","2020-09-10 18:53:53 UTC","63","4.2","2","3","4","3","5","4","5","5","4","3","6","2","7","7","7"
"0031","2020-09-15 12:19:13 UTC","60","4.0","4","6","3","5","6","3","4","6","3","3","4","6","2","6","5"
"0032","2020-09-16 13:12:52 UTC","40","2.6666666666666665","6","3","4","6","7","1","5","4","3","1","1","5","1","3","2"
"0033","2020-09-16 17:12:26 UTC","65","4.333333333333333","2","6","2","5","7","2","6","6","2","3","5","7","4","6","6"
"0034","2020-09-17 14:09:21 UTC","65","4.333333333333333","3","6","5","5","5","1","5","6","2","3","5","7","6","5","5"
"0035","2020-09-17 16:05:08 UTC","54","3.6","5","2","5","6","2","1","6","5","5","3","4","7","5","5","5"
"0036","2020-09-17 18:09:00 UTC","71","4.733333333333333","3","6","3","3","7","5","5","6","2","5","5","6","5","6","6"
"0037","2020-09-18 13:27:06 UTC","71","4.733333333333333","2","5","3","3","2","2","3","4","3","6","5","5","3","6","7"
"0038","2020-09-18 15:23:28 UTC","70","4.666666666666667","4","3","4","2","5","5","4","5","6","7","5","7","5","4","6"
"0038","2020-09-18 15:26:08 UTC","67","4.466666666666667","2","4","5","3","6","6","5","6","4","7","3","7","4","4","3"
"0039","2020-09-18 16:20:49 UTC","63","4.2","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"0040","2020-09-18 18:10:06 UTC","62","4.133333333333334","5","6","4","2","5","6","3","7","4","3","2","6","1","7","5"
"0041","2020-09-24 14:11:46 UTC","54","3.6","2","3","2","3","7","4","7","3","7","4","4","7","3","6","4"
"0043","2020-09-24 16:17:51 UTC","60","4.0","4","5","1","3","7","7","6","4","7","4","3","2","4","2","5"
"0044","2020-09-24 16:23:36 UTC","53","3.533333333333333","2","4","5","4","7","2","7","5","4","4","5","5","2","6","5"
"0045","2020-09-24 18:09:39 UTC","65","4.333333333333333","3","6","2","3","7","5","7","5","7","6","4","6","2","2","6"
"0046","2020-09-24 19:13:09 UTC","56","3.7333333333333334","3","4","6","3","4","4","6","4","3","1","3","7","1","3","4"
"0047","2020-09-25 14:08:24 UTC","64","4.266666666666667","2","6","3","3","5","3","5","6","4","3","5","4","3","5","5"
"0050","2020-09-25 15:09:05 UTC","69","4.6","3","6","2","4","5","5","4","4","3","4","5","6","6","5","3"
"0051","2020-09-25 15:09:54 UTC","62","4.133333333333334","5","5","4","4","2","3","4","3","4","5","4","2","2","1","6"
"0052","2020-09-25 17:08:48 UTC","63","4.2","3","2","3","3","7","4","5","5","4","5","3","7","3","3","6"
"0053","2020-09-25 17:13:50 UTC","55","3.6666666666666665","4","4","4","5","7","7","7","5","7","7","1","5","4","7","7"
"0054","2020-09-25 19:35:32 UTC","32","2.1333333333333333","7","3","4","5","7","1","7","3","4","2","1","2","2","7","3"
"0055","2020-09-28 21:19:28 UTC","51","3.4","4","6","5","3","6","2","6","4","5","3","4","1","1","3","6"
"0056","2020-09-29 19:18:42 UTC","75","5.0","3","5","3","3","3","6","6","5","3","6","5","7","4","2","4"
