"participant","date","distance test","start landmark","target landmark","estimated distance","actual distance","same or different route","spss level"
"u1075688","2018-01-30 09:09:10 -0800","0","Lynch Station","Tobler Museum","529","469.4262455381037","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Lynch Station","Harris Hall","197","221.472345903501","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Lynch Station","Snow Church","530","670.4811705036914","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Lynch Station","Sauer Center","551","624.0640992718617","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Lynch Station","Batty House","39","123.06502346320826","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Lynch Station","Golledge Hall","477","583.5923234587651","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Batty House","Lynch Station","59","123.06502346320826","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Batty House","Harvey House","379","321.6286678764814","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Batty House","Tobler Museum","668","484.08470333196857","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Batty House","Sauer Center","668","658.8846636551802","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Batty House","Harris Hall","199","207.18349355100662","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Batty House","Golledge Hall","600","572.1057594536171","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Harvey House","Golledge Hall","147","379.0118731649445","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Harvey House","Lynch Station","287","409.0110022970042","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Harvey House","Tobler Museum","192","382.8276374558138","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Harvey House","Harris Hall","157","239.70815588961506","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Harvey House","Sauer Center","209","568.4804306218465","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Harvey House","Snow Church","198","482.63547320933634","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Harris Hall","Snow Church","361","463.0","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Harris Hall","Sauer Center","414","457.68329661459137","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Harris Hall","Lynch Station","170","221.472345903501","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Harris Hall","Tobler Museum","391","277.7642885613628","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Harris Hall","Harvey House","201","239.70815588961506","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Harris Hall","Golledge Hall","317","369.2830892418444","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Tobler Museum","Harvey House","149","382.8276374558138","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Tobler Museum","Harris Hall","328","277.7642885613628","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Tobler Museum","Lynch Station","451","469.4262455381037","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Tobler Museum","Snow Church","81","208.21623375712088","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Tobler Museum","Sauer Center","91","189.76037521042164","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Tobler Museum","Golledge Hall","115","150.98675438593943","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Golledge Hall","Lynch Station","550","583.5923234587651","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Golledge Hall","Harris Hall","482","369.2830892418444","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Golledge Hall","Batty House","583","572.1057594536171","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Golledge Hall","Snow Church","50","104.38869670610895","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Golledge Hall","Sauer Center","107","238.8723508487326","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Golledge Hall","Tobler Museum","86","150.98675438593943","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Snow Church","Sauer Center","94","198.8793604173143","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Snow Church","Tobler Museum","113","208.21623375712088","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Snow Church","Harvey House","250","482.63547320933634","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Snow Church","Harris Hall","0","463.0","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Snow Church","Batty House","670","668.6733133601191","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Snow Church","Golledge Hall","109","104.38869670610895","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Sauer Center","Snow Church","118","198.8793604173143","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Sauer Center","Lynch Station","639","624.0640992718617","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Sauer Center","Golledge Hall","143","238.8723508487326","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Sauer Center","Tobler Museum","124","189.76037521042164","same","0same"
"u1075688","2018-01-30 09:09:10 -0800","0","Sauer Center","Harvey House","236","568.4804306218465","different","0different"
"u1075688","2018-01-30 09:09:10 -0800","0","Sauer Center","Harris Hall","461","457.68329661459137","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Harris Hall","Batty House","463","207.18349355100662","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Harris Hall","Snow Church","313","463.0","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Harris Hall","Lynch Station","418","221.472345903501","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Harris Hall","Tobler Museum","372","277.7642885613628","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Harris Hall","Sauer Center","355","457.68329661459137","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Harris Hall","Golledge Hall","308","369.2830892418444","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Snow Church","Harvey House","415","482.63547320933634","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Snow Church","Batty House","598","668.6733133601191","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Snow Church","Tobler Museum","209","208.21623375712088","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Snow Church","Sauer Center","286","198.8793604173143","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Snow Church","Lynch Station","575","670.4811705036914","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Snow Church","Harris Hall","401","463.0","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Batty House","Snow Church","511","668.6733133601191","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Batty House","Golledge Hall","545","572.1057594536171","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Batty House","Sauer Center","444","658.8846636551802","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Batty House","Tobler Museum","503","484.08470333196857","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Batty House","Harvey House","662","321.6286678764814","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Batty House","Harris Hall","608","207.18349355100662","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Harvey House","Tobler Museum","373","382.8276374558138","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Harvey House","Harris Hall","71","239.70815588961506","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Harvey House","Golledge Hall","311","379.0118731649445","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Harvey House","Snow Church","264","482.63547320933634","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Harvey House","Lynch Station","459","409.0110022970042","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Harvey House","Sauer Center","419","568.4804306218465","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Tobler Museum","Batty House","413","484.08470333196857","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Tobler Museum","Snow Church","106","208.21623375712088","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Tobler Museum","Sauer Center","46","189.76037521042164","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Tobler Museum","Lynch Station","394","469.4262455381037","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Tobler Museum","Harris Hall","340","277.7642885613628","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Tobler Museum","Golledge Hall","205","150.98675438593943","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Lynch Station","Batty House","61","123.06502346320826","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Lynch Station","Harvey House","543","409.0110022970042","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Lynch Station","Harris Hall","497","221.472345903501","same","0same"
"UT_141","2017-09-19 13:54:07 -0700","0","Lynch Station","Tobler Museum","0","469.4262455381037","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Lynch Station","Golledge Hall","360","583.5923234587651","different","0different"
"UT_141","2017-09-19 13:54:07 -0700","0","Lynch Station","Snow Church","397","670.4811705036914","different","0different"
