"participant","elected to share data?","age","sex","first name","last name","e-mail","date","MRT SDT-style","PSAS average","PVAS average","SBSOD average","gender","ethnic category","racial category","education","handedness","first language","prescription meds","head injuries"
"u1075688","true","","","","","","2018-01-30 09:09:10 -0800","34","4.0","","","","","","","","","",""
"UT_141","true","","","","","","2017-09-19 13:03:19 -0700","32","4.125","","","","","","","","","",""
"UT_141","true","","","","","","2017-09-19 13:54:07 -0700","26","4.25","","","","","","","","","",""
"UT_143","true","","","","","","2017-09-19 14:37:59 -0700","20","4.0625","","","","","","","","","",""
"UT_168","true","","","","","","2017-10-10 08:00:29 -0700","22","4.9375","","","","","","","","","",""
"Utah140","true","","","","","","2017-09-18 07:03:42 -0700","74","5.0625","","","","","","","","","",""
"Utah_101","true","","","","","","2017-06-05 13:06:25 -0700","46","5.5","","","","","","","","","",""
"Utah_102","true","","","","","","2017-06-12 11:04:25 -0700","8","3.1875","","","","","","","","","",""
"Utah_104","true","","","","","","2017-06-26 10:13:02 -0700","24","3.625","","","","","","","","","",""
"Utah_105","true","","","","","","2017-06-26 11:16:59 -0700","22","5.1875","","","","","","","","","",""
"Utah_107","true","","","","","","2017-06-27 09:21:03 -0700","14","4.4375","","","","","","","","","",""
"Utah_108","true","","","","","","2017-06-28 10:12:11 -0700","12","3.25","","","","","","","","","",""
"Utah_109","true","","","","","","2017-06-28 10:58:47 -0700","30","4.5","","","","","","","","","",""
"Utah_110","true","","","","","","2017-07-05 11:12:10 -0700","22","5.4375","","","","","","","","","",""
"Utah_111","true","","","","","","2017-07-10 12:05:27 -0700","62","4.875","","","","","","","","","",""
"Utah_112","true","","","","","","2017-07-10 13:11:06 -0700","40","3.5625","","","","","","","","","",""
"Utah_113","true","","","","","","2017-07-12 14:05:01 -0700","2","3.1875","","","","","","","","","",""
"Utah_114","true","","","","","","2017-07-17 10:44:55 -0700","42","3.6875","","","","","","","","","",""
"Utah_115","true","","","","","","2017-07-17 12:03:01 -0700","-8","5.0","","","","","","","","","",""
"Utah_116","true","","","","","","2017-07-17 15:10:46 -0700","48","4.3125","","","","","","","","","",""
"Utah_117","true","","","","","","2017-07-18 09:10:29 -0700","36","6.4375","","","","","","","","","",""
"Utah_118","true","","","","","","2017-07-19 10:01:33 -0700","4","2.9375","","","","","","","","","",""
"Utah_119","true","","","","","","2017-07-19 10:24:39 -0700","4","4.0625","","","","","","","","","",""
"Utah_120","true","","","","","","2017-07-25 09:22:51 -0700","34","4.375","","","","","","","","","",""
"Utah_121","true","","","","","","2017-07-29 10:10:35 -0700","24","3.0","","","","","","","","","",""
"Utah_122","true","","","","","","2017-09-01 10:42:03 -0700","24","5.4375","","","","","","","","","",""
"Utah_123","true","","","","","","2017-09-01 11:41:29 -0700","36","6.25","","","","","","","","","",""
"Utah_124","true","","","","","","2017-09-01 11:54:47 -0700","50","4.25","","","","","","","","","",""
"Utah_125","true","","","","","","2017-09-01 12:34:49 -0700","22","3.75","","","","","","","","","",""
"Utah_126","true","","","","","","2017-09-01 13:40:16 -0700","60","5.5625","","","","","","","","","",""
"Utah_127","true","","","","","","2017-09-08 10:55:22 -0700","8","3.375","","","","","","","","","",""
"Utah_128","true","","","","","","2017-09-08 11:23:22 -0700","70","4.9375","","","","","","","","","",""
"Utah_129","true","","","","","","2017-09-08 12:16:39 -0700","48","4.4375","","","","","","","","","",""
"Utah_130","true","","","","","","2017-09-08 12:35:19 -0700","8","3.875","","","","","","","","","",""
"Utah_131","true","","","","","","2017-09-08 13:27:42 -0700","-16","3.875","","","","","","","","","",""
