"participant","date","model number","building","x","y","error"
"u1075688","2018-01-30 09:09:10 -0800","0","Tobler Museum","400","341","237.92856070678022"
"u1075688","2018-01-30 09:09:10 -0800","0","Golledge Hall","592","322","41.773197148410844"
"u1075688","2018-01-30 09:09:10 -0800","0","Harvey House","381","477","87.36704184073076"
"u1075688","2018-01-30 09:09:10 -0800","0","Snow Church","471","229","246.17270360460358"
"u1075688","2018-01-30 09:09:10 -0800","0","Sauer Center","644","161","157.15279189374905"
"u1075688","2018-01-30 09:09:10 -0800","0","Harris Hall","213","229","3.605551275463989"
"u1075688","2018-01-30 09:09:10 -0800","0","Lynch Station","-55","291","179.9388785115657"
"u1075688","2018-01-30 09:09:10 -0800","0","Batty House","41","468","196.4993638666548"
"UT_141","2017-09-19 13:54:07 -0700","0","Lynch Station","122","28","146.0"
"UT_141","2017-09-19 13:54:07 -0700","0","Batty House","11","55","217.5890622251036"
"UT_141","2017-09-19 13:54:07 -0700","0","Harris Hall","510","412","348.742024998422"
"UT_141","2017-09-19 13:54:07 -0700","0","Harvey House","660","499","366.2676616901907"
"UT_141","2017-09-19 13:54:07 -0700","0","Tobler Museum","567","176","91.60785992479029"
"UT_141","2017-09-19 13:54:07 -0700","0","Sauer Center","446","65","188.7882411592417"
"UT_141","2017-09-19 13:54:07 -0700","0","Golledge Hall","204","327","361.79552236035204"
"UT_141","2017-09-19 13:54:07 -0700","0","Snow Church","418","292","310.4400103079498"
"UT_141","2017-09-19 13:03:19 -0700","0","Lynch Station","382","414","470.1063709417263"
"UT_141","2017-09-19 13:03:19 -0700","0","Harris Hall","87","283","140.11780757633915"
"UT_141","2017-09-19 13:03:19 -0700","0","Harvey House","468","58","461.09109728989563"
"UT_141","2017-09-19 13:03:19 -0700","0","Golledge Hall","565","326","35.014282800023196"
"UT_141","2017-09-19 13:03:19 -0700","0","Snow Church","539","126","193.82982226685345"
"UT_141","2017-09-19 13:03:19 -0700","0","Sauer Center","314","24","311.57984530453825"
"UT_141","2017-09-19 13:03:19 -0700","0","Tobler Museum","42","104","451.3590588434002"
"UT_141","2017-09-19 13:03:19 -0700","0","Batty House","231","410","246.2925090212855"
"UT_143","2017-09-19 14:37:59 -0700","0","Tobler Museum","584","434","325.0"
"UT_143","2017-09-19 14:37:59 -0700","0","Sauer Center","559","103","118.15244390193544"
"UT_143","2017-09-19 14:37:59 -0700","0","Golledge Hall","367","439","246.4000811688178"
"UT_143","2017-09-19 14:37:59 -0700","0","Batty House","52","133","141.23030836190935"
"UT_143","2017-09-19 14:37:59 -0700","0","Lynch Station","159","19","180.64883060789515"
"UT_143","2017-09-19 14:37:59 -0700","0","Harvey House","182","238","271.2065633424088"
"UT_143","2017-09-19 14:37:59 -0700","0","Snow Church","378","89","357.35136770411276"
"UT_143","2017-09-19 14:37:59 -0700","0","Harris Hall","254","360","139.5600229292042"
"UT_168","2017-10-10 08:00:29 -0700","0","Batty House","13","521","249.39326374222702"
"UT_168","2017-10-10 08:00:29 -0700","0","Harvey House","699","478","405.0604893099301"
"UT_168","2017-10-10 08:00:29 -0700","0","Snow Church","445","166","273.7918917718346"
"UT_168","2017-10-10 08:00:29 -0700","0","Sauer Center","448","-25","179.52437160452615"
"UT_168","2017-10-10 08:00:29 -0700","0","Tobler Museum","14","-18","499.0400785508114"
"UT_168","2017-10-10 08:00:29 -0700","0","Golledge Hall","70","191","504.0198408793051"
"UT_168","2017-10-10 08:00:29 -0700","0","Lynch Station","23","361","237.25513693068902"
"UT_168","2017-10-10 08:00:29 -0700","0","Harris Hall","300","294","108.85311203635843"
"Utah140","2017-09-18 07:03:42 -0700","0","Lynch Station","487","102","475.50920075220415"
"Utah140","2017-09-18 07:03:42 -0700","0","Batty House","519","31","547.8549077995012"
"Utah140","2017-09-18 07:03:42 -0700","0","Harris Hall","388","250","174.6568063374571"
"Utah140","2017-09-18 07:03:42 -0700","0","Harvey House","274","266","219.91134577370036"
"Utah140","2017-09-18 07:03:42 -0700","0","Golledge Hall","143","290","421.00118764678086"
"Utah140","2017-09-18 07:03:42 -0700","0","Snow Church","122","429","634.8322613100252"
"Utah140","2017-09-18 07:03:42 -0700","0","Sauer Center","286","429","542.8600187893745"
"Utah140","2017-09-18 07:03:42 -0700","0","Tobler Museum","490","435","313.01437666663173"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","100","460","694.7301634447723"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","144","318","583.0548859241297"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","370","-5","380.5325216062354"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","118","103","420.5948168962618"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","467","154","262.08395601409865"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","144","5","291.5098626118849"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","428","465","349.10456886153753"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","427","335","143.8923208513922"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","498","7","291.5681738461864"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","232","16","519.5931100389996"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","502","429","577.1698190307598"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","680","519","698.1532782992572"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","233","185","267.52383071420013"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","420","157","255.2038400965001"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","40","274","330.20751051422195"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","110","454","251.01593574910737"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","15","95","479.5216366338437"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","589","27","613.0815606426277"
"Utah_104","2017-06-26 10:13:02 -0700","0","Tobler Museum","639","72","154.3243337908834"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","646","191","187.18172987767795"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","652","343","152.11837495845134"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","291","6","394.65681294005304"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","328","469","267.9888057363591"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","31","297","174.04022523543227"
"Utah_105","2017-06-26 11:16:59 -0700","0","Golledge Hall","46","148","537.3760322158032"
"Utah_105","2017-06-26 11:16:59 -0700","0","Snow Church","334","198","382.06413074247104"
"Utah_105","2017-06-26 11:16:59 -0700","0","Sauer Center","191","16","434.1393785410395"
"Utah_105","2017-06-26 11:16:59 -0700","0","Tobler Museum","273","127","220.05681084665386"
"Utah_105","2017-06-26 11:16:59 -0700","0","Lynch Station","453","449","547.8193132776536"
"Utah_105","2017-06-26 11:16:59 -0700","0","Harvey House","541","309","303.29028998634294"
"Utah_105","2017-06-26 11:16:59 -0700","0","Batty House","625","391","609.7253480051489"
"Utah_105","2017-06-26 11:16:59 -0700","0","Harris Hall","389","327","201.1889659002203"
"Utah_107","2017-06-27 09:21:03 -0700","0","Golledge Hall","21","228","546.6424791397025"
"Utah_107","2017-06-27 09:21:03 -0700","0","Batty House","48","24","248.8875247978492"
"Utah_107","2017-06-27 09:21:03 -0700","0","Lynch Station","335","0","345.98410368107955"
"Utah_107","2017-06-27 09:21:03 -0700","0","Harris Hall","568","146","361.95165423023"
"Utah_107","2017-06-27 09:21:03 -0700","0","Harvey House","390","174","325.4796460610095"
"Utah_107","2017-06-27 09:21:03 -0700","0","Snow Church","224","376","520.8694654133606"
"Utah_107","2017-06-27 09:21:03 -0700","0","Sauer Center","614","447","442.13685664056555"
"Utah_107","2017-06-27 09:21:03 -0700","0","Tobler Museum","338","447","360.06943774777665"
"Utah_108","2017-06-28 10:12:11 -0700","0","Sauer Center","53","54","574.0949398836398"
"Utah_108","2017-06-28 10:12:11 -0700","0","Snow Church","459","39","305.94934221207274"
"Utah_108","2017-06-28 10:12:11 -0700","0","Tobler Museum","54","232","452.57154130590226"
"Utah_108","2017-06-28 10:12:11 -0700","0","Lynch Station","25","358","234.3608329051593"
"Utah_108","2017-06-28 10:12:11 -0700","0","Batty House","41","519","247.39644298170498"
"Utah_108","2017-06-28 10:12:11 -0700","0","Harris Hall","333","333","159.28904544883179"
"Utah_108","2017-06-28 10:12:11 -0700","0","Golledge Hall","479","207","119.50313803411188"
"Utah_108","2017-06-28 10:12:11 -0700","0","Harvey House","666","352","395.0607548213313"
"Utah_109","2017-06-28 10:58:47 -0700","0","Lynch Station","108","180","111.13955191559843"
"Utah_109","2017-06-28 10:58:47 -0700","0","Batty House","13","417","145.67429423202984"
"Utah_109","2017-06-28 10:58:47 -0700","0","Harris Hall","295","458","245.40578640284747"
"Utah_109","2017-06-28 10:58:47 -0700","0","Golledge Hall","684","233","133.2816566523691"
"Utah_109","2017-06-28 10:58:47 -0700","0","Snow Church","470","233","247.58836806279893"
"Utah_109","2017-06-28 10:58:47 -0700","0","Sauer Center","461","-7","164.43843832875572"
"Utah_109","2017-06-28 10:58:47 -0700","0","Tobler Museum","234","37","272.5912691191704"
"Utah_109","2017-06-28 10:58:47 -0700","0","Harvey House","628","455","335.3445988829998"
"Utah_110","2017-07-05 11:12:10 -0700","0","Sauer Center","533","1","92.0869154657707"
"Utah_110","2017-07-05 11:12:10 -0700","0","Batty House","9","433","162.00308639035245"
"Utah_110","2017-07-05 11:12:10 -0700","0","Lynch Station","7","225","101.1236866416568"
"Utah_110","2017-07-05 11:12:10 -0700","0","Harris Hall","248","291","72.89718787443039"
"Utah_110","2017-07-05 11:12:10 -0700","0","Harvey House","399","330","187.21645226849054"
"Utah_110","2017-07-05 11:12:10 -0700","0","Snow Church","657","148","82.03657720797473"
"Utah_110","2017-07-05 11:12:10 -0700","0","Golledge Hall","560","287","5.656854249492381"
"Utah_110","2017-07-05 11:12:10 -0700","0","Tobler Museum","360","46","153.18289721767243"
"Utah_111","2017-07-10 12:05:27 -0700","0","Lynch Station","432","139","420.267771783657"
"Utah_111","2017-07-10 12:05:27 -0700","0","Golledge Hall","188","475","418.60721446243616"
"Utah_111","2017-07-10 12:05:27 -0700","0","Snow Church","209","267","510.7768593035515"
"Utah_111","2017-07-10 12:05:27 -0700","0","Sauer Center","4","261","671.697104355825"
"Utah_111","2017-07-10 12:05:27 -0700","0","Tobler Museum","-13","489","625.0799948806552"
"Utah_111","2017-07-10 12:05:27 -0700","0","Batty House","696","207","672.1502808152355"
"Utah_111","2017-07-10 12:05:27 -0700","0","Harvey House","691","25","607.6257071586093"
"Utah_111","2017-07-10 12:05:27 -0700","0","Harris Hall","475","23","329.8620923962012"
"Utah_112","2017-07-10 13:11:06 -0700","0","Lynch Station","469","323","498.4475900232641"
"Utah_112","2017-07-10 13:11:06 -0700","0","Harvey House","727","99","580.073271233902"
"Utah_112","2017-07-10 13:11:06 -0700","0","Batty House","520","505","545.2870803530925"
"Utah_112","2017-07-10 13:11:06 -0700","0","Sauer Center","59","102","574.2516869805434"
"Utah_112","2017-07-10 13:11:06 -0700","0","Harris Hall","629","253","414.87950057817994"
"Utah_112","2017-07-10 13:11:06 -0700","0","Tobler Museum","4","255","506.7642449897191"
"Utah_112","2017-07-10 13:11:06 -0700","0","Golledge Hall","267","261","298.51130631853795"
"Utah_112","2017-07-10 13:11:06 -0700","0","Snow Church","236","150","483.1407662369219"
"Utah_113","2017-07-12 14:05:01 -0700","0","Lynch Station","514","158","503.15007701480084"
"Utah_113","2017-07-12 14:05:01 -0700","0","Batty House","720","232","694.1534412505639"
"Utah_113","2017-07-12 14:05:01 -0700","0","Tobler Museum","550","457","339.8146553637733"
"Utah_113","2017-07-12 14:05:01 -0700","0","Golledge Hall","287","191","294.4978777512666"
"Utah_113","2017-07-12 14:05:01 -0700","0","Sauer Center","162","429","627.8096845382365"
"Utah_113","2017-07-12 14:05:01 -0700","0","Snow Church","15","290","706.1345480855614"
"Utah_113","2017-07-12 14:05:01 -0700","0","Harvey House","7","69","505.3958844312051"
"Utah_113","2017-07-12 14:05:01 -0700","0","Harris Hall","140","39","201.47952749597167"
"Utah_114","2017-07-17 10:44:55 -0700","0","Lynch Station","596","170","585.8088425416605"
"Utah_114","2017-07-17 10:44:55 -0700","0","Batty House","625","65","632.8135586410898"
"Utah_114","2017-07-17 10:44:55 -0700","0","Harris Hall","474","337","281.78360491696463"
"Utah_114","2017-07-17 10:44:55 -0700","0","Harvey House","340","131","356.97618968216915"
"Utah_114","2017-07-17 10:44:55 -0700","0","Golledge Hall","205","258","360.51352263126"
"Utah_114","2017-07-17 10:44:55 -0700","0","Sauer Center","-31","333","733.430296619931"
"Utah_114","2017-07-17 10:44:55 -0700","0","Snow Church","76","251","641.6509954796298"
"Utah_114","2017-07-17 10:44:55 -0700","0","Tobler Museum","64","492","566.5165487432826"
"Utah_115","2017-07-17 12:03:01 -0700","0","Golledge Hall","349","38","332.01505989939676"
