participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
u1075688,1/30/2018 9:09,0,Batty House,Lynch Station,Tobler Museum,60,37.30802198,22.69197802,different
u1075688,1/30/2018 9:09,0,Batty House,Lynch Station,Golledge Hall,95,51.76768154,43.23231846,different
u1075688,1/30/2018 9:09,0,Batty House,Lynch Station,Sauer Center,42,30.3316951,11.6683049,different
u1075688,1/30/2018 9:09,0,Batty House,Lynch Station,Harvey House,82,93.19423766,11.19423766,same
u1075688,1/30/2018 9:09,0,Batty House,Lynch Station,Lynch Station,28,47.32798389,19.32798389,same
u1075688,1/30/2018 9:09,0,Batty House,Lynch Station,Harris Hall,4,37.5286373,33.5286373,same
u1075688,1/30/2018 9:09,0,Batty House,Lynch Station,Snow Church,68,48.19947553,19.80052447,different
u1075688,1/30/2018 9:09,0,Lynch Station,Harris Hall,Tobler Museum,29,17.95076442,11.04923558,different
u1075688,1/30/2018 9:09,0,Lynch Station,Harris Hall,Snow Church,29,8.968174613,20.03182539,different
u1075688,1/30/2018 9:09,0,Lynch Station,Harris Hall,Harris Hall,1,7.021704671,6.021704671,same
u1075688,1/30/2018 9:09,0,Lynch Station,Harris Hall,Sauer Center,39,29.20903342,9.790966576,different
u1075688,1/30/2018 9:09,0,Lynch Station,Harris Hall,Golledge Hall,45,3.323863738,41.67613626,different
u1075688,1/30/2018 9:09,0,Lynch Station,Harris Hall,Harvey House,22,48.19593801,26.19593801,same
u1075688,1/30/2018 9:09,0,Lynch Station,Harris Hall,Batty House,132,130.6542463,1.345753667,same
u1075688,1/30/2018 9:09,0,Harris Hall,Harvey House,Tobler Museum,60,99.95984558,39.95984558,different
u1075688,1/30/2018 9:09,0,Harris Hall,Harvey House,Harvey House,128,2.146796904,125.8532031,same
u1075688,1/30/2018 9:09,0,Harris Hall,Harvey House,Snow Church,81,84.7281122,3.728112203,different
u1075688,1/30/2018 9:09,0,Harris Hall,Harvey House,Sauer Center,59,110.6574336,51.65743363,different
u1075688,1/30/2018 9:09,0,Harris Hall,Harvey House,Batty House,96,83.35216568,12.64783432,same
u1075688,1/30/2018 9:09,0,Harris Hall,Harvey House,Lynch Station,85,114.5627943,29.56279428,same
u1075688,1/30/2018 9:09,0,Harris Hall,Harvey House,Golledge Hall,88,77.71082192,10.28917808,different
