id,SOTe1,SOTe2,SOTe3,SOTe4,SOTe5,SOTe6,SOTe7,SOTe8,SOTe9,SOTe10,SOTe11,SOTe12
Utah_101,3,7,6,3,13,22,307,11,40,21,6,2
Utah_102,67,96,14,0,6,35,4,60,1,37,5,1
Utah_104,76,174,226,68,48,125,90,90,90,90,90,90
Utah_105,2,4,7,2,1,5,4,8,22,30,9,3
Utah_107,53,1,39,34,8,36,305,125,87,10,5,9
Utah_108,8,37,29,24,1,11,43,56,131,48,26,150
Utah_109,4,16,14,12,7,2,19,1,39,1,10,3
Utah_110,4,26,2,78,5,1,4,11,250,19,14,15
Utah_111,4,15,216,17,3,7,11,6,13,16,0,13
Utah_112,9,7,25,6,12,27,11,40,220,174,14,120
Utah_113,15,29,49,24,44,14,23,123,90,90,90,90
Utah_114,15,33,242,7,6,28,8,48,4,8,6,4
Utah_115,159,23,18,33,40,29,67,59,56,100,22,7
Utah_116,52,5,18,17,8,10,9,28,26,21,5,4
Utah_117,217,40,41,10,45,15,10,22,153,66,4,34
Utah_118,197,88,221,3,278,81,303,183,179,10,7,68
Utah_119,2,17,29,20,11,40,38,43,5,243,11,19
Utah_120,18,9,9,16,0,27,0,11,10,2,3,5
Utah_121,79,39,46,90,15,23,75,38,90,90,90,90
Utah_122,4,16,24,12,12,134,5,20,12,33,26,150
Utah_123,3,12,4,29,5,22,5,17,14,17,14,1
Utah_124,2,23,27,0,2,7,12,22,29,4,18,3
Utah_125,22,13,40,58,37,42,299,65,157,280,21,5
Utah_126,22,16,143,4,3,166,24,53,40,1,2,16
Utah_127,14,66,186,18,53,84,90,90,90,90,90,90
Utah_128,9,35,17,6,22,10,10,41,18,15,28,17
Utah_129,70,18,30,63,28,21,23,45,10,11,23,9
Utah_130,198,13,49,6,236,86,280,55,234,269,1,3
Utah_131,78,86,39,65,279,197,90,90,90,90,90,90
Utah_132,7,8,8,7,4,18,9,9,4,0,8,5
Utah_133,5,16,7,54,7,18,2,30,252,13,5,10
Utah_134,6,11,7,4,11,1,8,17,19,3,14,7
Utah_135,11,57,7,2,49,24,23,46,31,11,2,6
Utah_136,82,3,43,16,2,24,13,10,69,12,10,27
Utah_137,89,19,43,10,9,92,7,67,50,90,90,90
Utah_138,15,10,42,10,6,57,13,116,36,7,4,8
Utah_139,20,10,2,6,22,13,26,32,41,13,7,65
Utah_140,11,7,0,3,8,10,15,10,5,5,14,11
Utah_141,205,72,7,44,236,1,28,220,152,52,282,82
Utah_142,18,18,10,56,15,15,6,43,47,1,6,2
Utah_143,7,9,14,8,45,13,306,21,38,2,7,10
Utah_144,104,12,233,18,286,20,8,38,52,173,1,8
Utah_145,9,6,7,16,4,5,3,11,19,4,7,3
Utah_146,9,11,7,9,0,83,8,38,45,3,6,1
Utah_147,12,17,38,12,1,19,10,38,13,3,0,9
Utah_148,2,16,41,10,16,13,11,137,10,2,19,7
Utah_149,20,19,49,9,85,30,73,35,16,51,60,5
Utah_150,1,2,29,6,2,22,23,15,64,35,90,90
Utah_151,8,5,1,49,1,11,15,25,7,1,0,11
Utah_152,12,2,15,13,5,33,2,4,10,14,21,6
Utah_153,3,19,65,13,3,13,3,6,30,16,11,0
Utah_154,7,15,157,60,1,75,9,116,10,90,90,90
Utah_155,24,5,237,9,6,45,218,40,7,12,2,10
Utah_156,213,101,49,24,151,55,111,40,140,97,79,90
Utah_157,3,7,27,11,17,22,3,37,33,5,3,10
Utah_158,209,60,212,2,185,55,292,231,100,90,90,90
Utah_159,33,19,7,1,17,21,3,0,40,14,2,4
Utah_160,2,3,37,21,2,1,13,10,16,7,12,90
Utah_161,43,2,4,6,9,3,19,13,41,261,2,72
Utah_162,15,95,33,4,2,22,6,37,37,90,90,90
Utah_163,17,3,7,7,8,28,3,7,11,5,2,1
Utah_164,217,12,7,22,3,20,3,15,10,10,7,12
Utah_165,5,15,32,11,1,21,5,43,46,6,6,18
Utah_166,0,10,13,50,8,34,13,20,43,24,8,10
Utah_167,7,9,7,13,10,4,2,0,10,8,9,1
Utah_168,12,9,15,65,5,3,7,130,25,2,11,14
Utah_169,17,11,7,20,2,40,18,26,10,42,16,20
Utah_170,23,3,7,1,2,23,8,0,43,9,12,0
Utah_171,68,11,33,74,17,0,39,10,8,6,7,10
Utah_172,206,9,44,25,24,13,92,14,52,3,1,28
Utah_173,15,19,3,5,7,6,13,14,0,6,4,1
Utah_174,104,237,247,126,139,55,5,112,55,132,6,60
Utah_175,112,41,195,9,259,11,90,90,90,90,90,90
Utah_176,7,6,17,1,4,17,4,8,9,2,3,0
Utah_177,43,72,3,36,4,15,28,30,66,62,19,90
Utah_178,21,33,40,54,17,20,18,36,39,9,4,1
Utah_179,22,7,9,4,9,15,15,20,3,0,8,2
Utah_180,17,10,27,1,9,80,284,41,150,0,11,5
Utah_181,76,24,38,7,45,34,9,210,22,90,90,90
Utah_182,13,13,0,24,1,12,6,28,23,4,17,2
Utah_183,80,47,31,13,3,6,48,13,18,26,0,90
Utah_184,6,9,7,1,1,11,13,7,10,24,90,90
Utah_185,1,33,10,14,10,94,1,37,51,3,4,23
Utah_186,15,7,7,4,83,98,18,34,20,2,24,12
Utah_187,105,15,235,6,285,71,0,45,38,264,4,5
Utah_188,14,3,23,1,8,11,28,10,32,11,3,90
Utah_189,70,16,23,4,49,27,20,20,25,3,5,20
Utah_190,9,29,16,13,3,5,1,19,60,5,6,7
Utah_191,10,17,22,0,1,25,7,50,3,196,7,6
Utah_192,95,8,228,104,44,87,90,56,72,11,2,26
Utah_193,14,16,21,12,12,25,31,43,10,0,8,4
Utah_194,8,7,12,11,12,29,15,235,10,42,9,1
Utah_195,198,57,228,54,49,4,79,228,90,90,90,90
Utah_196,48,42,17,49,49,33,4,50,28,22,8,90
Utah_197,147,54,191,24,29,5,73,80,153,161,3,90
Utah_198,13,5,7,2,3,24,4,90,90,90,90,90
Utah_199,57,6,48,2,49,114,295,80,165,22,19,56
Utah_200,108,3,7,5,5,14,2,17,23,7,2,6
Utah_201,83,8,33,1,19,13,19,28,49,3,9,20
Utah_202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah_203,33,93,204,57,283,29,3,109,152,275,299,61
Utah_204,7,7,27,3,49,105,18,26,17,20,19,8
Utah_205,18,92,43,16,36,30,1,50,22,223,6,8
Utah_206,7,7,23,40,7,30,1,42,39,2,1,3
Utah_207,63,61,25,19,49,15,30,59,49,11,1,87
Utah_208,9,33,7,8,4,20,5,10,13,4,0,10
Utah_209,1,9,7,1,7,3,1,27,2,14,19,14
Utah_210,33,28,7,14,49,15,5,96,90,90,90,90
Utah_211,53,33,48,14,3,20,63,90,90,90,90,90
Utah_212,188,1,37,26,194,9,208,16,54,14,1,62
Utah_213,57,33,43,2,0,25,7,48,31,8,4,8
Utah_214,13,1,7,20,24,15,25,47,26,265,90,90
Utah_215,24,13,18,57,22,2,14,31,47,21,22,4
Utah_217,57,57,131,24,229,9,15,29,143,222,294,90
Utah_218,104,166,22,0,49,35,112,190,90,90,90,90
Utah_219,207,26,7,1,5,26,13,47,10,7,4,10
Utah_221,24,104,31,134,20,22,13,80,40,1,14,6
Utah_222,117,119,13,17,1,105,13,42,10,72,40,190
Utah_223,35,4,7,3,3,6,4,10,10,2,4,5
Utah_224,13,6,39,34,3,92,7,49,90,90,90,90
Utah_225,22,4,7,0,17,11,0,36,24,6,4,0
Utah_226,4,23,8,3,1,22,13,38,37,15,90,90
Utah_227,13,5,21,8,6,19,6,21,13,14,4,10
Utah_228,31,14,18,49,289,108,90,90,90,90,90,90
Utah_229,16,3,21,72,1,13,7,25,1,6,8,5
Utah_230,33,3,7,21,11,161,8,44,35,10,24,36
Utah_231,43,21,221,0,7,93,90,90,90,90,90,90
Utah_232,73,208,38,29,0,19,4,32,48,0,10,28
Utah_233,8,18,3,8,0,26,1,14,245,11,4,3
Utah_234,95,2,32,19,18,85,6,194,62,90,90,90
Utah_235,66,102,233,24,19,5,296,124,45,90,90,90
Utah_236,147,8,7,31,15,42,39,56,157,90,90,90
Utah_237,215,115,249,60,292,26,312,134,154,8,2,61
Utah_238,27,15,7,66,168,30,302,32,30,90,90,90
Utah_239,10,31,7,1,18,24,18,35,31,9,11,4
Utah_240,33,12,45,60,49,33,8,66,145,42,99,94
Utah_241,30,1,13,2,5,10,8,23,14,4,2,11
Utah_242,7,33,9,10,49,1,11,52,46,18,3,2
Utah_243,147,10,187,90,84,187,90,90,90,90,90,90
Utah_244,5,3,42,7,229,83,17,118,228,7,2,2
Utah_245,10,11,26,26,5,30,3,32,27,6,1,21
Utah_246,85,85,187,11,192,78,17,136,122,87,4,22
Utah_247,33,15,7,3,275,91,273,112,157,259,292,90
Utah_248,9,4,10,17,11,9,297,30,36,4,9,8
Utah_249,167,25,31,19,3,26,29,35,64,8,23,90
Utah_250,11,30,247,13,2,24,9,41,190,23,1,0
Utah_251,5,12,7,21,15,17,8,10,10,21,3,10
Utah_253,7,17,27,4,5,29,2,26,20,4,1,5
Utah_254,10,22,13,19,15,17,27,42,20,5,17,15
Utah_256,11,3,13,74,1,10,7,30,26,2,14,15
Utah_257,13,19,13,3,8,16,12,8,22,2,5,5
Utah_258,81,7,44,42,49,19,33,57,10,24,3,13
Utah_259,109,15,7,49,6,25,5,40,33,90,90,90
Utah_260,33,38,7,22,12,45,36,35,228,5,30,15
Utah_261,33,18,25,18,6,18,14,34,66,2,15,8
Utah_262,100,28,46,10,23,95,63,14,40,8,5,24
Utah_263,128,38,7,24,19,15,21,40,24,42,10,18
Utah_265,59,17,52,62,9,35,23,35,226,10,26,12
Utah_266,198,33,20,66,11,89,14,75,34,6,12,66
Utah_267,23,57,7,19,49,15,8,9,56,4,2,7
Utah_268,6,7,39,5,13,20,12,25,10,1,8,1
Utah_270,26,0,25,11,5,28,14,41,26,19,28,33
Utah_271,0,28,28,9,17,75,2,50,41,1,4,4
Utah_272,17,33,25,20,0,30,26,32,90,90,90,90
Utah_273,184,82,40,11,7,18,30,47,38,12,1,5
Utah_274,210,15,31,10,1,29,0,42,28,0,3,5
Utah_275,23,1,7,3,9,5,13,32,28,11,5,16
Utah_276,16,6,9,1,3,19,10,32,90,90,90,90
Utah_277,10,13,26,0,7,35,15,40,17,4,4,30
Utah_278,197,95,208,146,13,109,14,78,271,28,8,90
Utah_279,33,20,42,10,6,37,3,60,50,90,90,90
Utah_280,12,21,247,14,5,34,14,38,55,14,30,15
Utah_281,20,20,7,8,18,27,4,6,22,15,4,9
Utah_282,9,33,23,61,8,101,17,132,13,1,0,34
Utah_283,8,16,16,5,61,14,14,4,42,39,9,3
Utah_284,1,19,7,4,18,2,3,37,90,90,90,90
Utah_285,4,27,7,10,8,25,13,28,10,2,12,12
Utah_286,99,57,187,4,229,79,130,29,152,2,3,10
Utah_287,124,3,18,18,15,212,15,11,15,0,4,0
Utah_288,0,7,237,54,224,25,295,123,160,2,4,10
Utah_289,107,25,4,11,49,7,16,34,238,18,6,22
Utah_290,108,92,19,4,7,13,1,0,213,25,19,8
Utah_291,33,32,30,56,9,105,129,35,234,270,4,58
Utah_292,29,2,2,34,2,9,4,207,24,90,90,90
Utah_293,7,33,9,20,49,25,3,42,233,2,0,90
Utah_294,0,17,7,7,13,37,8,36,147,19,13,11
Utah_295,12,21,63,1,49,31,17,208,29,70,12,13
Utah_296,2,6,29,16,3,20,3,10,30,10,4,7
Utah_297,1,12,3,2,8,12,1,10,6,11,8,3
Utah_298,207,7,63,9,21,114,19,80,10,2,4,9
Utah_299,73,30,28,8,17,106,2,55,45,17,6,4
Utah_300,112,175,212,24,1,78,3,0,230,6,2,90
Utah_301,128,192,187,6,23,15,28,20,48,48,26,90
Utah_302,6,5,7,4,247,6,3,8,8,5,6,18
Utah_303,94,87,242,1,229,22,13,80,155,10,26,90
Utah_304,33,14,7,1,5,5,1,12,39,23,4,10
Utah_305,3,31,7,8,0,10,11,10,15,1,8,90
