id,r,Alpha1,Alpha2,Beta1,Beta2,Scale,Theta,DMax,D,DI,r^2
Utah_101,0.689116133,465.0969527,83.04621537,-0.210793607,0.521502452,0.562493335,112.0087776,660.7899628,478.8420539,72.46509192,0.474881045
Utah_102,0.463553412,303.5607495,442.9895282,-0.150646863,-0.421975935,0.44806045,250.3532604,782.4837059,693.3345376,88.6068978,0.214881766
Utah_104,0.372532376,318.5096127,42.2392236,0.334748087,0.198020387,0.388932328,30.60645676,845.1786054,784.3419702,92.80191964,0.138780371
Utah_105,0.750252978,364.9933551,495.5118176,-0.313761386,-0.49466282,0.585779407,237.6133115,632.0695175,417.8933099,66.11508676,0.56287953
Utah_107,0.643295314,468.2822995,29.96744362,-0.067341313,0.583818248,0.587689203,96.5797819,739.5640608,566.2236619,76.56181417,0.413828861
Utah_108,0.826398271,-21.86916109,457.4481755,0.344633561,-0.734307563,0.811159595,-64.85786261,794.6124842,447.4352033,56.30860479,0.682934103
Utah_109,0.822128449,16.70560787,251.6387793,0.695644578,-0.411200867,0.808088814,-30.5876606,795.715637,453.0025359,56.93020407,0.675895186
Utah_110,0.95796841,-25.42624423,137.9772272,0.849009049,-0.275680528,0.892645573,-17.98905862,754.3386176,216.3999165,28.68737083,0.917703475
Utah_111,0.657765733,594.3250945,398.0598332,-0.715958743,-0.020336291,0.716247504,181.6270078,881.5163073,663.9779787,75.32225702,0.43265576
Utah_112,0.792443061,437.4582692,561.6018802,-0.52620448,-0.555190656,0.764936481,226.5354128,781.4402568,476.6362769,60.99458951,0.627966005
Utah_113,0.679036911,590.311064,232.2387864,-0.586607193,0.347119617,0.681615747,149.3854505,812.6147611,596.5438519,73.41041295,0.461091127
Utah_114,0.86620608,607.7868729,401.7523249,-0.809206988,0.075716539,0.812741621,174.6544658,759.5734,379.5488995,49.96869289,0.750312973
Utah_115,0.531531201,645.0839506,292.8861034,-0.467785423,0.170237756,0.497799253,160.0024026,758.1653843,642.1954319,84.70387137,0.282525418
Utah_116,0.884716727,305.5904929,486.9695463,-0.134033361,-0.666399,0.679744488,258.6277832,621.985028,289.925305,46.61290737,0.782723687
Utah_117,0.742912446,128.05317,-17.68294193,0.701391459,0.003076193,0.701398204,0.251288697,764.3028686,511.6156267,66.93885994,0.551918903
Utah_118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah_119,0.75223697,169.9718508,77.49649084,0.528999528,0.26829446,0.593146203,26.89290877,638.3304395,420.5912429,65.88926626,0.565860459
Utah_120,0.474787741,497.5842054,321.6816747,-0.428242381,-0.05726701,0.43205445,187.6167302,736.6775923,648.3501964,88.01003359,0.225423399
Utah_121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah_122,0.680840257,133.8380551,283.3645056,0.426421614,-0.325959727,0.53673563,-37.39455445,638.195405,467.4346973,73.2431938,0.463543456
Utah_123,0.882705106,-39.56287008,390.8964444,0.520101304,-0.764927585,0.924997068,-55.78683096,848.3268091,398.6519529,46.99273306,0.779168304
Utah_124,0.981420299,-69.18320133,128.2207378,1.02180763,-0.24812945,1.051503236,-13.64915727,867.3493385,166.4185431,19.18702601,0.963185803
Utah_125,0.783174636,62.88607634,61.17574126,0.736971384,-0.037148921,0.737907083,-2.885697381,762.7488119,474.2785913,62.18018094,0.61336251
Utah_126,0.881844744,-1.30194528,259.4106988,0.759312694,-0.399421383,0.857958745,-27.745724,787.6127697,371.3908222,47.15398689,0.777650152
Utah_127,0.359595825,451.4955925,258.5274694,-0.267716529,0.152489756,0.308099441,150.3344162,693.6090397,647.2122566,93.31081625,0.129309157
Utah_128,0.65562879,251.5031193,431.6486716,-0.107781578,-0.548141047,0.55863716,258.8757869,689.7794938,520.8410221,75.50833663,0.42984911
Utah_129,0.497130809,420.0352122,368.2921784,-0.287445516,-0.342750233,0.447328343,230.0153141,728.4407148,632.0502393,86.76756068,0.247139041
Utah_130,0.801122494,86.79812293,279.4862182,0.518481191,-0.437113521,0.678152619,-40.13307708,685.2783194,410.1393604,59.85004178,0.64179725
Utah_131,0.669905094,223.0882952,196.3439702,0.410878142,-0.144895023,0.435678109,-19.42505514,526.4909781,390.8915116,74.24467425,0.448772835
Utah_132,0.737278702,109.3047747,272.6842862,0.443540948,-0.392934827,0.592559154,-41.53787061,650.6366113,439.5627539,67.55887176,0.543579885
Utah_133,0.946456076,93.65297995,-120.9954605,0.867308659,0.344266204,0.933136394,21.6499198,798.1474644,257.6680306,32.28326119,0.895779105
Utah_134,0.886015465,-56.40451175,354.9186617,0.699307857,-0.648828765,0.953944571,-42.85564141,871.6062041,404.1251734,46.36556871,0.785023404
Utah_135,0.42500253,374.7532694,481.060524,-0.019292964,-0.398134295,0.398601474,267.2257065,759.2518522,687.2688254,90.51921618,0.18062715
Utah_136,0.687910908,54.4410835,344.2143024,0.543537057,-0.50884291,0.744549287,-43.11179558,876.1929011,635.9365479,72.57951383,0.473221417
Utah_137,0.953897906,-1.388106913,181.2126994,0.797665542,-0.31374422,0.857149784,-21.4711054,727.4335021,218.3255471,30.01312786,0.909921216
Utah_138,0.834855086,71.46370672,132.4182749,0.866625442,-0.000546268,0.866625614,-0.036115798,840.3474728,462.5858941,55.04697867,0.696983014
