,Unnamed: 0,id,Education,FamSES,Income,Age,Gender,Ethnicity,Kids_1,KidsHome_1,Fav,FavPpl,FavActivity,UStotal,UTtotal,UTrural,UTurban,UTdist,SBtotal,Orient,Route,SA,BFExtraverted,BFAgreeableness,BFConscient,BFEmoStabil,BFOpennness,SOIbehavior,SOIattitude,SOIdesire,SOItotal,ATOTpleasure,ATOTnopleasure,Q1,Q3,Q4,Q5,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q25,Q27,Q29,Q32,Q39,Q40,Q42,Q45,Q47,Q49,Q50,Q51,Q52,Q54,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q65,Q66,Q67,Q68,Q69,Q72,Q73,Map,WithinRtPt,BetweenRtPt,WithinRtPtAllo,BetweenRtPtAllo,WithinDist,BetweenDist,date,MRT,PSAS
0,1,Utah_101,3,5,1,23,Male,Caucasian,0,0,Park,Wife,Play pickleball,11,,,,,4.8,3.54545454545455,4.0,2.0,3.5,5.5,6.5,6.0,4.5,1.33333333333333,1.33333333333333,1.6666666666666698,1.44444444444444,5.2,2.6,3,3,2,2,1,2,3,3,1,2,3,4,4,4,4,4,3,2,2,4,4,2,2,5,4,5,5,5,3,5,1,1,1,3,4,3,1,4,2,2,2,1,2,390.687887026289,7.273898792033883,51.985770607968334,60.6389188828891,77.376903880646,70.9671237500424,100.864961641099,2017-06-05 13:06:25 -0700,46.0,5.5
1,2,Utah_102,3,5,2,21,Female,Other,0,0,Wherever family and friends are,family and friends,anything,17,,,,,3.2666666666666697,2.09090909090909,4.0,2.125,2.5,4.5,7.0,4.0,5.5,1.33333333333333,2.3333333333333304,1.0,1.55555555555556,3.6,2.2,4,4,6,1,1,2,3,2,1,3,5,3,5,3,4,1,4,2,3,3,5,2,3,2,2,4,2,2,4,2,4,1,1,2,5,4,3,1,1,3,1,1,1,398.80443728615404,49.58658991989534,75.77619437537868,50.0550965071516,90.1556457393544,100.15824562443301,100.700238754557,2017-06-12 11:04:25 -0700,8.0,3.1875
2,3,Utah_104,3,5,8,35,Female,Caucasian,2,2,home,family,relax,35,,,,,2.2,1.90909090909091,4.33333333333333,3.0,6.0,6.0,7.0,3.0,5.0,1.33333333333333,5.0,2.0,2.77777777777778,1.8,4.4,2,4,3,1,1,1,3,5,1,5,4,5,3,5,3,5,5,1,4,1,1,3,3,2,1,2,2,1,1,1,4,1,1,1,4,1,4,4,5,5,5,5,5,302.864184976916,69.54073350458671,72.63217559097805,77.76795531040291,81.6167827154753,203.981611296558,249.305896831244,2017-06-26 10:13:02 -0700,24.0,3.625
3,4,Utah_105,3,3,6,24,Male,Caucasian,0,0,Hiking,Sometimes with friends,Explore,14,,,,,5.4,3.81818181818182,3.6666666666666696,1.625,3.5,5.5,5.5,6.5,6.0,1.6666666666666698,6.0,3.3333333333333304,3.6666666666666696,5.0,2.4,7,4,5,2,1,2,3,2,1,2,5,4,5,4,5,4,4,1,2,4,5,5,5,4,5,4,5,5,5,4,2,1,2,4,4,2,2,1,2,2,4,1,4,404.45753368941706,54.86737280067962,73.6477523753278,76.5861642051132,70.3770993743099,96.19554163300249,112.14152831565501,2017-06-26 11:16:59 -0700,22.0,5.1875
4,5,Utah_107,3,5,6,23,Female,Caucasian,0,0,in the canyons,boyfriend/friends,relax,23,,,,,4.2,2.90909090909091,4.33333333333333,2.125,4.5,5.0,6.5,4.0,6.0,3.6666666666666696,9.0,5.33333333333333,6.0,4.8,2.2,2,6,4,1,3,2,3,3,1,3,5,5,5,2,2,5,1,1,1,4,4,5,5,5,3,4,4,4,4,2,1,1,1,2,4,1,4,1,1,4,4,1,1,394.002645963947,30.505357097947435,27.23896226308648,74.74863780329791,112.45533151591299,126.91613523511101,136.31393648141702,2017-06-27 09:21:03 -0700,14.0,4.4375
5,6,Utah_108,2,4,1,18,Female,Asian/Pacific-Islanders,0,0,In the outdoors,My friends,Hiking and Dirt Biking,16,,,,,5.06666666666667,3.2727272727272703,5.0,2.125,1.5,5.0,4.5,5.0,6.5,1.0,2.3333333333333304,1.6666666666666698,1.6666666666666698,4.8,3.2,3,3,8,4,2,3,2,2,1,4,5,2,5,5,5,2,4,1,2,1,5,5,5,2,4,5,5,5,5,4,2,1,1,5,5,5,4,5,1,5,1,1,1,311.028254699094,26.050277878467412,33.015876069228476,81.0588241461313,73.1157102264816,75.4659643250746,59.949788668921606,2017-06-28 10:12:11 -0700,12.0,3.25
6,7,Utah_109,3,5,1,19,Female,Caucasian,0,0,wilderness,my friends,"mountain bike, hike, camp, ski",14,,,,,3.3333333333333304,2.09090909090909,3.6666666666666696,2.375,3.0,3.5,6.5,4.0,7.0,5.66666666666667,5.33333333333333,3.6666666666666696,4.888888888888889,4.4,1.4,3,4,5,2,1,3,3,3,1,4,5,3,5,2,5,1,2,2,3,3,4,5,5,2,3,2,2,4,3,4,3,1,1,5,5,5,4,2,1,1,4,5,1,206.932995449571,45.57606589812644,77.44896061940102,53.5355958149391,120.76332566178499,82.5731741642345,158.151597001141,2017-06-28 10:58:47 -0700,30.0,4.5
7,8,Utah_110,5,6,4,28,Male,Caucasian,0,0,Maine ,family ,outdoor activities ,32,,,,,4.4666666666666694,3.45454545454545,3.3333333333333304,2.5,3.5,4.0,4.5,5.0,5.5,3.6666666666666696,6.0,2.3333333333333304,4.0,4.0,1.8,4,4,8,2,2,3,1,2,1,4,5,3,4,2,4,2,3,2,1,4,4,5,5,4,4,4,4,5,4,3,2,1,1,4,4,4,2,2,3,2,3,3,3,107.02545716448,20.165379350772184,22.43517745118207,73.7773198239203,79.25873054852659,71.6119045778255,93.27400031073,2017-07-05 11:12:10 -0700,22.0,5.4375
8,9,Utah_111,2,4,1,22,Male,Asian/Pacific-Islanders,0,0,barcelona,friends,just hangout with friends,7,,,,,2.53333333333333,2.45454545454545,2.3333333333333304,3.5,4.5,4.5,7.0,4.5,5.5,1.0,3.6666666666666696,1.33333333333333,2.0,4.0,4.2,4,3,2,1,2,1,1,5,1,4,2,4,3,3,2,3,4,4,4,1,4,2,4,2,2,1,3,1,4,1,2,1,5,3,3,3,3,5,3,1,5,1,1,532.008378144521,45.401231933319806,58.91880133511908,63.3202621446099,123.32765821073299,120.44450748948,154.117404463539,2017-07-10 12:05:27 -0700,62.0,4.875
9,10,Utah_112,3,1,1,28,Male,Caucasian,0,0,home,friends,play video games and relax,2,,,,,4.73333333333333,4.0,4.16666666666667,1.625,1.0,5.0,7.0,5.5,3.5,1.33333333333333,2.3333333333333304,1.6666666666666698,1.77777777777778,4.6,3.0,2,2,2,2,1,2,5,4,1,4,3,5,3,3,3,4,4,1,4,1,3,2,2,5,3,2,5,5,2,2,2,3,4,2,5,2,1,5,2,5,5,1,3,487.66943083927003,18.531367616321045,86.37988642284688,67.6188462648527,95.68986947872801,103.211197471295,269.675374608119,2017-07-10 13:11:06 -0700,40.0,3.5625
