"","participant","date","building","x","y","error"
"1","Utah_302","2018-01-30 09:09:10 -0800","Tobler Museum",400,341,237.92856070678
"2","Utah_302","2018-01-30 09:09:10 -0800","Golledge Hall",592,322,41.7731971484108
"3","Utah_302","2018-01-30 09:09:10 -0800","Harvey House",381,477,87.3670418407308
"4","Utah_302","2018-01-30 09:09:10 -0800","Snow Church",471,229,246.172703604604
"5","Utah_302","2018-01-30 09:09:10 -0800","Sauer Center",644,161,157.152791893749
"6","Utah_302","2018-01-30 09:09:10 -0800","Harris Hall",213,229,3.60555127546399
"7","Utah_302","2018-01-30 09:09:10 -0800","Lynch Station",-55,291,179.938878511566
"8","Utah_302","2018-01-30 09:09:10 -0800","Batty House",41,468,196.499363866655
"9","Utah_142","2017-09-19 13:54:07 -0700","Lynch Station",122,28,146
"10","Utah_142","2017-09-19 13:54:07 -0700","Batty House",11,55,217.589062225104
"11","Utah_142","2017-09-19 13:54:07 -0700","Harris Hall",510,412,348.742024998422
"12","Utah_142","2017-09-19 13:54:07 -0700","Harvey House",660,499,366.267661690191
"13","Utah_142","2017-09-19 13:54:07 -0700","Tobler Museum",567,176,91.6078599247903
"14","Utah_142","2017-09-19 13:54:07 -0700","Sauer Center",446,65,188.788241159242
"15","Utah_142","2017-09-19 13:54:07 -0700","Golledge Hall",204,327,361.795522360352
"16","Utah_142","2017-09-19 13:54:07 -0700","Snow Church",418,292,310.44001030795
"17","Utah_141","2017-09-19 13:03:19 -0700","Lynch Station",382,414,470.106370941726
"18","Utah_141","2017-09-19 13:03:19 -0700","Harris Hall",87,283,140.117807576339
"19","Utah_141","2017-09-19 13:03:19 -0700","Harvey House",468,58,461.091097289896
"20","Utah_141","2017-09-19 13:03:19 -0700","Golledge Hall",565,326,35.0142828000232
"21","Utah_141","2017-09-19 13:03:19 -0700","Snow Church",539,126,193.829822266853
"22","Utah_141","2017-09-19 13:03:19 -0700","Sauer Center",314,24,311.579845304538
"23","Utah_141","2017-09-19 13:03:19 -0700","Tobler Museum",42,104,451.3590588434
"24","Utah_141","2017-09-19 13:03:19 -0700","Batty House",231,410,246.292509021285
"25","Utah_143","2017-09-19 14:37:59 -0700","Tobler Museum",584,434,325
"26","Utah_143","2017-09-19 14:37:59 -0700","Sauer Center",559,103,118.152443901935
"27","Utah_143","2017-09-19 14:37:59 -0700","Golledge Hall",367,439,246.400081168818
"28","Utah_143","2017-09-19 14:37:59 -0700","Batty House",52,133,141.230308361909
"29","Utah_143","2017-09-19 14:37:59 -0700","Lynch Station",159,19,180.648830607895
"30","Utah_143","2017-09-19 14:37:59 -0700","Harvey House",182,238,271.206563342409
"31","Utah_143","2017-09-19 14:37:59 -0700","Snow Church",378,89,357.351367704113
"32","Utah_143","2017-09-19 14:37:59 -0700","Harris Hall",254,360,139.560022929204
"33","Utah_168","2017-10-10 08:00:29 -0700","Batty House",13,521,249.393263742227
"34","Utah_168","2017-10-10 08:00:29 -0700","Harvey House",699,478,405.06048930993
"35","Utah_168","2017-10-10 08:00:29 -0700","Snow Church",445,166,273.791891771835
"36","Utah_168","2017-10-10 08:00:29 -0700","Sauer Center",448,-25,179.524371604526
"37","Utah_168","2017-10-10 08:00:29 -0700","Tobler Museum",14,-18,499.040078550811
"38","Utah_168","2017-10-10 08:00:29 -0700","Golledge Hall",70,191,504.019840879305
"39","Utah_168","2017-10-10 08:00:29 -0700","Lynch Station",23,361,237.255136930689
"40","Utah_168","2017-10-10 08:00:29 -0700","Harris Hall",300,294,108.853112036358
"41","Utah_140","2017-09-18 07:03:42 -0700","Lynch Station",487,102,475.509200752204
"42","Utah_140","2017-09-18 07:03:42 -0700","Batty House",519,31,547.854907799501
