SBtotal,GPSuse,MRT,SOTmean,WithinRtPt,BetweenRtPt,Distance,r.2,Q1,Q4,UTdist
SBtotal, NA,1.3e-07,0.0022,0.00012,6.5e-07,0.00032,0.00024,0.005,0.14,0.034,0.15
GPSuse,1.3e-07, NA,4.1e-06,0.00024,0.0041,0.25,0.0029,0.024,0.25,0.98,0.55
MRT,0.0022,4.1e-06, NA,1.3e-15,0.00088,0.1,0.00065,0.0061,0.69,0.81,0.092
SOTmean,0.00012,0.00024,1.3e-15, NA,0.00025,0.051,2.5e-05,0.0013,0.62,0.29,0.51
WithinRtPt,6.5e-07,0.0041,0.00088,0.00025, NA,  0,  0,  0,0.041,0.71,0.36
BetweenRtPt,0.00032,0.25,0.1,0.051,  0, NA,1.7e-12,8.9e-14,0.68,0.76,0.75
Distance,0.00024,0.0029,0.00065,2.5e-05,  0,1.7e-12, NA,  0,0.93,0.65,0.95
r.2,0.005,0.024,0.0061,0.0013,  0,8.9e-14,  0, NA,0.17,0.55,0.53
Q1,0.14,0.25,0.69,0.62,0.041,0.68,0.93,0.17, NA,0.44,0.28
Q4,0.034,0.98,0.81,0.29,0.71,0.76,0.65,0.55,0.44, NA,0.032
UTdist,0.15,0.55,0.092,0.51,0.36,0.75,0.95,0.53,0.28,0.032, NA
