participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
1001,9/10/2013 6:33,0,Batty House,Lynch Station,Lynch Station,92,47.32798389,44.67201611,same
1001,9/10/2013 6:33,0,Batty House,Lynch Station,Snow Church,26,48.19947553,22.19947553,different
1001,9/10/2013 6:33,0,Batty House,Lynch Station,Sauer Center,1,30.3316951,29.3316951,different
1001,9/10/2013 6:33,0,Batty House,Lynch Station,Tobler Museum,22,37.30802198,15.30802198,different
1001,9/10/2013 6:33,0,Batty House,Lynch Station,Harris Hall,38,37.5286373,0.471362696,same
1001,9/10/2013 6:33,0,Batty House,Lynch Station,Golledge Hall,81,51.76768154,29.23231846,different
1001,9/10/2013 6:33,0,Batty House,Lynch Station,Harvey House,55,93.19423766,38.19423766,same
1001,9/10/2013 6:33,0,Lynch Station,Harris Hall,Sauer Center,31,29.20903342,1.790966576,different
1001,9/10/2013 6:33,0,Lynch Station,Harris Hall,Tobler Museum,52,17.95076442,34.04923558,different
1001,9/10/2013 6:33,0,Lynch Station,Harris Hall,Batty House,128,130.6542463,2.654246333,same
1001,9/10/2013 6:33,0,Lynch Station,Harris Hall,Golledge Hall,40,3.323863738,36.67613626,different
1001,9/10/2013 6:33,0,Lynch Station,Harris Hall,Snow Church,2,8.968174613,6.968174613,different
1001,9/10/2013 6:33,0,Lynch Station,Harris Hall,Harvey House,85,48.19593801,36.80406199,same
1001,9/10/2013 6:33,0,Lynch Station,Harris Hall,Harris Hall,33,7.021704671,25.97829533,same
1001,9/10/2013 6:33,0,Harris Hall,Harvey House,Batty House,47,83.35216568,36.35216568,same
1001,9/10/2013 6:33,0,Harris Hall,Harvey House,Harvey House,142,2.146796904,139.8532031,same
1001,9/10/2013 6:33,0,Harris Hall,Harvey House,Snow Church,12,84.7281122,72.7281122,different
1001,9/10/2013 6:33,0,Harris Hall,Harvey House,Tobler Museum,80,99.95984558,19.95984558,different
1001,9/10/2013 6:33,0,Harris Hall,Harvey House,Lynch Station,81,114.5627943,33.56279428,same
1001,9/10/2013 6:33,0,Harris Hall,Harvey House,Golledge Hall,145,77.71082192,67.28917808,different
1001,9/10/2013 6:33,0,Harris Hall,Harvey House,Sauer Center,103,110.6574336,7.657433634,different
