Pointing_From,Pointing_To,unsignedAnswer,recalculatedAnswer,participantAngle,pointOrder,correctAngularError,DO_NOT_USE_incorrectAngularError
Batty House,Batty House,,,,,,
Batty House,Lynch Station,47.32798389,-47.32798389151449,-128.214,2.0,80.8860161084855,80.88601611
Batty House,Harris Hall,37.5286373,37.52863730402907,-131.71200000000002,6.0,169.2406373040291,94.18336270000002
Batty House,Harvey House,93.19423766,93.19423765817854,134.2708,1.0,41.07656234182147,41.07656234000001
Batty House,Golledge Hall,51.76768154,51.76768153806614,141.8663,3.0,90.09861846193385,90.09861846
Batty House,Snow Church,48.19947553,48.19947553081968,-151.505,0.0,160.29552446918032,103.30552447
Batty House,Sauer Center,30.3316951,30.331695097476896,141.6663,5.0,111.33460490252311,111.3346049
Batty House,Tobler Museum,37.30802198,37.30802198129223,-142.3087,4.0,179.61672198129222,105.00067801999998
Lynch Station,Batty House,130.6542463,130.6542463331721,-168.3095,8.0,61.03625366682786,37.6552537
Lynch Station,Lynch Station,,,,,,
Lynch Station,Harris Hall,7.021704671,7.02170467090796,121.7538,13.0,114.73209532909203,114.732095329
Lynch Station,Harvey House,48.19593801,48.195938013595914,114.0518,9.0,65.85586198640408,65.85586199
Lynch Station,Golledge Hall,3.323863738,-3.323863738061074,-132.9379,10.0,129.61403626193894,129.614036262
Lynch Station,Snow Church,8.968174613,-8.968174613078338,-100.8423,12.0,91.87412538692166,91.87412538699999
Lynch Station,Sauer Center,29.20903342,-29.209033423777672,133.8511,7.0,163.06013342377767,104.64206658
Lynch Station,Tobler Museum,17.95076442,-17.950764420634226,95.05453,11.0,113.00529442063423,77.10376558
Harris Hall,Batty House,83.35216568,83.35216568459656,43.787490000000005,19.0,39.56467568459655,39.56467567999999
Harris Hall,Lynch Station,114.5627943,114.56279427841682,-121.9121,15.0,123.5251057215832,7.349305700000002
Harris Hall,Harris Hall,,,,,,
Harris Hall,Harvey House,2.146796904,-2.146796903629346,-77.71243,16.0,75.56563309637065,75.565633096
Harris Hall,Golledge Hall,77.71082192,-77.71082192465416,102.2879,20.0,179.99872192465415,24.577078079999993
Harris Hall,Snow Church,84.7281122,-84.72811220292517,-41.61945,17.0,43.108662202925174,43.1086622
Harris Hall,Sauer Center,110.6574336,-110.65743363432559,-166.5033,14.0,55.84586636567441,55.84586639999999
Harris Hall,Tobler Museum,99.95984558,-99.95984558186653,2.633885,18.0,102.59373058186654,97.32596058
Harvey House,Batty House,46.54689912,-46.54689912218602,93.08586,25.0,139.63275912218603,46.53896088
Harvey House,Lynch Station,32.28246429,-32.282464292919606,132.7862,26.0,165.0686642929196,100.50373571
Harvey House,Harris Hall,4.196894849,-4.196894849005793,4.414682,23.0,8.611576849005793,0.21778715099999957
Harvey House,Harvey House,,,,,,
Harvey House,Golledge Hall,64.9530254,64.95302540271734,-143.71,21.0,151.33697459728265,78.7569746
Harvey House,Snow Church,66.19140238,66.19140237525872,178.5032,27.0,112.31179762474127,112.31179762
Harvey House,Sauer Center,46.29205396,46.29205396301872,47.4896,24.0,1.1975460369812794,1.197546040000006
Harvey House,Tobler Museum,42.14615863,42.14615862727205,-68.11301,22.0,110.25916862727206,25.96685137
Golledge Hall,Batty House,173.5694617,173.56946174631767,60.627269999999996,30.0,112.94219174631768,112.94219170000001
Golledge Hall,Lynch Station,173.9683139,-173.9683139144782,96.71164,32.0,89.32004608552182,77.2566739
Golledge Hall,Harris Hall,176.2022806,176.2022806137976,156.7476,34.0,19.454680613797592,19.45468059999999
Golledge Hall,Harvey House,139.9309368,139.93093678256204,177.6617,33.0,37.73076321743795,37.730763199999984
Golledge Hall,Golledge Hall,,,,,,
Golledge Hall,Snow Church,1.204134401,1.2041344013640871,-1.8973360000000001,28.0,3.1014704013640872,0.6932015990000002
Golledge Hall,Sauer Center,76.21088344,-76.21088344473237,-101.2841,31.0,25.07321655526762,25.07321655999999
Golledge Hall,Tobler Museum,147.0284471,-147.02844706156867,-57.101119999999995,29.0,89.92732706156868,89.9273271
Snow Church,Batty House,90.64700942,-90.6470094165935,91.96355,37.0,177.3894405834065,1.3165405799999945
Snow Church,Lynch Station,79.44851915,-79.44851915391442,91.96355,39.0,171.41206915391442,12.515030850000002
Snow Church,Harris Hall,88.09346154,-88.09346154480704,91.96355,38.0,179.94298845519296,3.870088459999991
Snow Church,Harvey House,119.6929579,-119.69295786010946,91.66348,35.0,148.64356213989055,28.02947789999999
Snow Church,Golledge Hall,125.8431145,-125.84311454991945,91.96355,36.0,142.19333545008055,33.8795645
Snow Church,Snow Church,,,,,,
Snow Church,Sauer Center,0.279262352,-0.27926235158265256,91.96355,40.0,92.24281235158266,91.684287648
Snow Church,Tobler Museum,63.69277617,-63.692776166334035,91.96355,41.0,155.65632616633403,28.270773829999996
Sauer Center,Batty House,6.744508622,6.74450862234883,5.5591870000000005,45.0,1.1853216223488294,1.1853216219999991
Sauer Center,Lynch Station,17.76205492,17.762054920259878,5.5591870000000005,47.0,12.202867920259877,12.20286792
Sauer Center,Harris Hall,4.240040564,4.240040563502457,5.5591870000000005,44.0,1.3191464364975438,1.3191464360000005
Sauer Center,Harvey House,23.09134403,-23.09134403283715,5.5591870000000005,43.0,28.65053103283715,17.532157029999997
Sauer Center,Golledge Hall,51.85616181,-51.85616181338526,5.5591870000000005,48.0,57.415348813385265,46.29697481
Sauer Center,Snow Church,89.63525726,-89.63525725921562,5.5591870000000005,42.0,95.19444425921562,84.07607026000001
Sauer Center,Sauer Center,,,,,,
Sauer Center,Tobler Museum,2.713388186,2.713388186025373,5.5591870000000005,46.0,2.8457988139746275,2.8457988140000006
Tobler Museum,Batty House,171.0086651,-171.00866513563608,23.32905,52.0,165.66228486436393,147.6796151
Tobler Museum,Lynch Station,156.2355625,-156.23556254554433,34.424479999999996,51.0,169.33995745445569,121.8110825
Tobler Museum,Harris Hall,173.2852643,-173.2852643263075,58.122530000000005,49.0,128.5922056736925,115.16273429999998
